turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,4,3,7,1,8,no,8,suerte2
2,2,bob,5,6,11,1,12,no,12,rosa1
3,1,ana,6,2,8,8,16,no,16,estacion2
4,2,bob,2,4,6,12,18,no,18,suerte3
5,1,ana,4,3,7,16,23,no,23,suerte4
6,2,bob,1,3,4,18,22,no,22,rojo1
7,1,ana,4,4,8,23,31,no,31,carcel
8,2,bob,3,2,5,22,27,no,27,amarillo1
9,1,ana,3,4,7,31,38,no,38,azul1
10,2,bob,2,3,5,27,32,no,32,verde1
11,1,ana,3,1,4,38,2,si,2,morado1
12,2,bob,6,2,8,32,40,no,40,azul2
13,1,ana,5,1,6,2,8,no,8,suerte2
14,2,bob,1,1,2,40,2,si,2,morado1
15,1,ana,4,1,5,8,13,no,13,impuesto2
16,2,bob,1,5,6,2,8,no,8,suerte2
17,1,ana,4,6,10,13,23,no,23,suerte4
18,2,bob,2,1,3,8,11,no,11,visita_carcel
19,1,ana,6,5,11,23,34,no,34,suerte5
20,2,bob,2,1,3,11,14,no,14,rosa2
21,1,ana,6,4,10,34,4,si,4,morado2
22,2,bob,5,3,8,14,22,no,22,rojo1
23,1,ana,1,2,3,4,7,no,7,gris1
24,2,bob,3,4,7,22,29,no,29,impuesto3
25,1,ana,1,4,5,7,12,no,12,rosa1
26,2,bob,5,6,11,29,40,no,40,azul2
27,1,ana,4,2,6,12,18,no,18,suerte3
28,2,bob,3,6,9,40,9,si,9,gris2
29,1,ana,2,4,6,18,24,no,24,rojo2
30,2,bob,6,1,7,9,16,no,16,estacion2
31,1,ana,5,1,6,24,30,no,30,amarillo3
32,2,bob,1,1,2,16,18,no,18,suerte3
33,1,ana,4,5,9,30,39,no,39,impuesto4
34,2,bob,2,5,7,18,25,no,25,rojo3
35,1,ana,3,5,8,39,7,si,7,gris1
36,2,bob,2,6,8,25,33,no,33,verde2
37,1,ana,2,2,4,7,11,no,11,visita_carcel
38,2,bob,5,6,11,33,4,si,4,morado2
39,1,ana,3,4,7,11,18,no,18,suerte3
40,2,bob,6,1,7,4,11,no,11,visita_carcel
41,1,ana,2,3,5,18,23,no,23,suerte4
42,2,bob,6,2,8,11,19,no,19,naranja2
43,1,ana,2,5,7,23,30,no,30,amarillo3
44,2,bob,3,5,8,19,27,no,27,amarillo1
45,1,ana,4,1,5,30,35,no,35,verde3
46,2,bob,2,5,7,27,34,no,34,suerte5
47,1,ana,1,5,6,35,1,si,1,salida
48,2,bob,4,6,10,34,4,si,4,morado2
49,1,ana,3,1,4,1,5,no,5,impuesto1
50,2,bob,3,5,8,4,12,no,12,rosa1
51,1,ana,1,4,5,5,10,no,10,gris3
52,2,bob,3,2,5,12,17,no,17,naranja1
53,1,ana,2,4,6,10,16,no,16,estacion2
54,2,bob,3,3,6,17,23,no,23,suerte4
55,1,ana,5,6,11,16,27,no,27,amarillo1
56,2,bob,2,4,6,23,29,no,29,impuesto3
57,1,ana,6,2,8,27,35,no,35,verde3
58,2,bob,2,1,3,29,32,no,32,verde1
59,1,ana,6,6,12,35,7,si,7,gris1
60,2,bob,5,4,9,32,1,si,1,salida
61,1,ana,1,1,2,7,9,no,9,gris2
62,2,bob,4,6,10,1,11,no,11,visita_carcel
63,1,ana,6,3,9,9,18,no,18,suerte3
64,2,bob,3,6,9,11,20,no,20,naranja3
65,1,ana,5,6,11,18,29,no,29,impuesto3
66,2,bob,4,4,8,20,28,no,28,amarillo2
67,1,ana,1,6,7,29,36,no,36,estacion4
68,2,bob,6,2,8,28,36,no,36,estacion4
69,1,ana,3,6,9,36,5,si,5,impuesto1
70,2,bob,3,1,4,36,40,no,40,azul2
71,1,ana,6,6,12,5,17,no,17,naranja1
72,2,bob,6,2,8,40,8,si,8,suerte2
73,1,ana,4,3,7,17,24,no,24,rojo2
74,2,bob,3,3,6,8,14,no,14,rosa2
75,1,ana,5,4,9,24,33,no,33,verde2
76,2,bob,1,4,5,14,19,no,19,naranja2
77,1,ana,3,3,6,33,39,no,39,impuesto4
78,2,bob,3,3,6,19,25,no,25,rojo3
79,1,ana,6,5,11,39,10,si,10,gris3
80,2,bob,6,3,9,25,34,no,34,suerte5
81,1,ana,4,2,6,10,16,no,16,estacion2
82,2,bob,5,3,8,34,2,si,2,morado1
83,1,ana,6,1,7,16,23,no,23,suerte4
84,2,bob,1,4,5,2,7,no,7,gris1
85,1,ana,3,4,7,23,30,no,30,amarillo3
86,2,bob,2,6,8,7,15,no,15,rosa3
87,1,ana,5,1,6,30,36,no,36,estacion4
88,2,bob,2,2,4,15,19,no,19,naranja2
89,1,ana,6,6,12,36,8,si,8,suerte2
90,2,bob,2,6,8,19,27,no,27,amarillo1
91,1,ana,3,2,5,8,13,no,13,impuesto2
92,2,bob,1,3,4,27,31,no,31,carcel
93,1,ana,1,5,6,13,19,no,19,naranja2
94,2,bob,5,5,10,31,1,si,1,salida
95,1,ana,2,2,4,19,23,no,23,suerte4
96,2,bob,5,4,9,1,10,no,10,gris3
97,1,ana,5,6,11,23,34,no,34,suerte5
98,2,bob,4,2,6,10,16,no,16,estacion2
99,1,ana,1,4,5,34,39,no,39,impuesto4
100,2,bob,4,3,7,16,23,no,23,suerte4
