jugador,posicion,nombre_casilla,visitas
ana,1,salida,8
ana,2,morado1,9
ana,3,suerte1,8
ana,4,morado2,7
ana,5,impuesto1,9
ana,6,estacion1,9
ana,7,gris1,7
ana,8,suerte2,9
ana,9,gris2,9
ana,10,gris3,7
ana,11,visita_carcel,9
ana,12,rosa1,8
ana,13,impuesto2,7
ana,14,rosa2,9
ana,15,rosa3,8
ana,16,estacion2,8
ana,17,naranja1,9
ana,18,suerte3,9
ana,19,naranja2,9
ana,20,naranja3,6
ana,21,parking,8
ana,22,rojo1,11
ana,23,suerte4,6
ana,24,rojo2,9
ana,25,rojo3,11
ana,26,estacion3,5
ana,27,amarillo1,11
ana,28,amarillo2,10
ana,29,impuesto3,4
ana,30,amarillo3,11
ana,31,carcel,10
ana,32,verde1,4
ana,33,verde2,12
ana,34,suerte5,9
ana,35,verde3,6
ana,36,estacion4,11
ana,37,suerte6,8
ana,38,azul1,6
ana,39,impuesto4,11
ana,40,azul2,7
bob,1,salida,12
bob,2,morado1,7
bob,3,suerte1,6
bob,4,morado2,4
bob,5,impuesto1,11
bob,6,estacion1,4
bob,7,gris1,8
bob,8,suerte2,14
bob,9,gris2,11
bob,10,gris3,8
bob,11,visita_carcel,7
bob,12,rosa1,4
bob,13,impuesto2,12
bob,14,rosa2,4
bob,15,rosa3,9
bob,16,estacion2,15
bob,17,naranja1,10
bob,18,suerte3,6
bob,19,naranja2,7
bob,20,naranja3,4
bob,21,parking,11
bob,22,rojo1,5
bob,23,suerte4,10
bob,24,rojo2,13
bob,25,rojo3,10
bob,26,estacion3,6
bob,27,amarillo1,6
bob,28,amarillo2,5
bob,29,impuesto3,12
bob,30,amarillo3,4
bob,31,carcel,9
bob,32,verde1,13
bob,33,verde2,12
bob,34,suerte5,6
bob,35,verde3,7
bob,36,estacion4,5
bob,37,suerte6,11
bob,38,azul1,5
bob,39,impuesto4,9
bob,40,azul2,12
carla,1,salida,12
carla,2,morado1,7
carla,3,suerte1,5
carla,4,morado2,13
carla,5,impuesto1,5
carla,6,estacion1,14
carla,7,gris1,4
carla,8,suerte2,10
carla,9,gris2,8
carla,10,gris3,4
carla,11,visita_carcel,13
carla,12,rosa1,5
carla,13,impuesto2,13
carla,14,rosa2,6
carla,15,rosa3,10
carla,16,estacion2,9
carla,17,naranja1,2
carla,18,suerte3,14
carla,19,naranja2,4
carla,20,naranja3,14
carla,21,parking,6
carla,22,rojo1,8
carla,23,suerte4,11
carla,24,rojo2,2
carla,25,rojo3,13
carla,26,estacion3,4
carla,27,amarillo1,13
carla,28,amarillo2,8
carla,29,impuesto3,8
carla,30,amarillo3,11
carla,31,carcel,3
carla,32,verde1,11
carla,33,verde2,4
carla,34,suerte5,12
carla,35,verde3,9
carla,36,estacion4,7
carla,37,suerte6,12
carla,38,azul1,3
carla,39,impuesto4,12
carla,40,azul2,4
diego,1,salida,9
diego,2,morado1,9
diego,3,suerte1,7
diego,4,morado2,10
diego,5,impuesto1,8
diego,6,estacion1,8
