posicion,nombre_casilla,visitas
1,salida,20
2,morado1,26
3,suerte1,30
4,morado2,19
5,impuesto1,25
6,estacion1,24
7,gris1,26
8,suerte2,30
9,gris2,23
10,gris3,30
11,visita_carcel,30
12,rosa1,18
13,impuesto2,25
14,rosa2,28
15,rosa3,28
16,estacion2,27
17,naranja1,26
18,suerte3,21
19,naranja2,33
20,naranja3,24
21,parking,18
22,rojo1,35
23,suerte4,20
24,rojo2,21
25,rojo3,27
26,estacion3,13
27,amarillo1,34
28,amarillo2,24
29,impuesto3,26
30,amarillo3,28
31,carcel,29
32,verde1,20
33,verde2,25
34,suerte5,21
35,verde3,30
36,estacion4,22
37,suerte6,22
38,azul1,25
39,impuesto4,27
40,azul2,20
