posicion,nombre_casilla,visitas
1,salida,4
2,morado1,3
3,suerte1,0
4,morado2,2
5,impuesto1,5
6,estacion1,3
7,gris1,0
8,suerte2,6
9,gris2,2
10,gris3,4
11,visita_carcel,1
12,rosa1,4
13,impuesto2,4
14,rosa2,4
15,rosa3,4
16,estacion2,1
17,naranja1,1
18,suerte3,2
19,naranja2,2
20,naranja3,2
21,parking,5
22,rojo1,2
23,suerte4,3
24,rojo2,1
25,rojo3,1
26,estacion3,3
27,amarillo1,1
28,amarillo2,1
29,impuesto3,4
30,amarillo3,2
31,carcel,2
32,verde1,2
33,verde2,2
34,suerte5,3
35,verde3,4
36,estacion4,1
37,suerte6,1
38,azul1,1
39,impuesto4,7
40,azul2,0
