jugador,posicion,nombre_casilla,visitas
ana,1,salida,1
ana,2,morado1,1
ana,3,suerte1,0
ana,4,morado2,0
ana,5,impuesto1,1
ana,6,estacion1,1
ana,7,gris1,0
ana,8,suerte2,2
ana,9,gris2,0
ana,10,gris3,1
ana,11,visita_carcel,0
ana,12,rosa1,2
ana,13,impuesto2,1
ana,14,rosa2,1
ana,15,rosa3,2
ana,16,estacion2,0
ana,17,naranja1,0
ana,18,suerte3,0
ana,19,naranja2,0
ana,20,naranja3,0
ana,21,parking,3
ana,22,rojo1,0
ana,23,suerte4,0
ana,24,rojo2,0
ana,25,rojo3,1
ana,26,estacion3,1
ana,27,amarillo1,0
ana,28,amarillo2,0
ana,29,impuesto3,0
ana,30,amarillo3,1
ana,31,carcel,1
ana,32,verde1,0
ana,33,verde2,1
ana,34,suerte5,0
ana,35,verde3,2
ana,36,estacion4,0
ana,37,suerte6,0
ana,38,azul1,0
ana,39,impuesto4,2
ana,40,azul2,0
bob,1,salida,1
bob,2,morado1,1
bob,3,suerte1,0
bob,4,morado2,0
bob,5,impuesto1,3
bob,6,estacion1,0
bob,7,gris1,0
bob,8,suerte2,2
bob,9,gris2,0
bob,10,gris3,1
bob,11,visita_carcel,1
bob,12,rosa1,1
bob,13,impuesto2,1
bob,14,rosa2,1
bob,15,rosa3,1
bob,16,estacion2,0
bob,17,naranja1,0
bob,18,suerte3,0
bob,19,naranja2,1
bob,20,naranja3,0
bob,21,parking,2
bob,22,rojo1,0
bob,23,suerte4,1
bob,24,rojo2,0
bob,25,rojo3,0
bob,26,estacion3,0
bob,27,amarillo1,1
bob,28,amarillo2,0
bob,29,impuesto3,2
bob,30,amarillo3,0
bob,31,carcel,0
bob,32,verde1,0
bob,33,verde2,1
bob,34,suerte5,2
bob,35,verde3,0
bob,36,estacion4,0
bob,37,suerte6,0
bob,38,azul1,0
bob,39,impuesto4,2
bob,40,azul2,0
carla,1,salida,1
carla,2,morado1,0
carla,3,suerte1,0
carla,4,morado2,1
carla,5,impuesto1,0
carla,6,estacion1,1
carla,7,gris1,0
carla,8,suerte2,2
carla,9,gris2,1
carla,10,gris3,1
carla,11,visita_carcel,0
carla,12,rosa1,1
carla,13,impuesto2,1
carla,14,rosa2,0
carla,15,rosa3,1
carla,16,estacion2,0
carla,17,naranja1,1
carla,18,suerte3,1
carla,19,naranja2,1
carla,20,naranja3,1
carla,21,parking,0
carla,22,rojo1,1
carla,23,suerte4,0
carla,24,rojo2,0
carla,25,rojo3,0
carla,26,estacion3,1
carla,27,amarillo1,0
carla,28,amarillo2,1
carla,29,impuesto3,2
carla,30,amarillo3,0
carla,31,carcel,0
carla,32,verde1,2
carla,33,verde2,0
carla,34,suerte5,0
carla,35,verde3,1
carla,36,estacion4,1
carla,37,suerte6,1
carla,38,azul1,1
carla,39,impuesto4,0
carla,40,azul2,0
diego,1,salida,1
diego,2,morado1,1
diego,3,suerte1,0
diego,4,morado2,1
diego,5,impuesto1,1
diego,6,estacion1,1
diego,7,gris1,0
diego,8,suerte2,0
diego,9,gris2,1
diego,10,gris3,1
diego,11,visita_carcel,0
diego,12,rosa1,0
diego,13,impuesto2,1
diego,14,rosa2,2
diego,15,rosa3,0
diego,16,estacion2,1
diego,17,naranja1,0
diego,18,suerte3,1
diego,19,naranja2,0
diego,20,naranja3,1
diego,21,parking,0
diego,22,rojo1,1
diego,23,suerte4,2
diego,24,rojo2,1
diego,25,rojo3,0
diego,26,estacion3,1
diego,27,amarillo1,0
diego,28,amarillo2,0
diego,29,impuesto3,0
diego,30,amarillo3,1
diego,31,carcel,1
diego,32,verde1,0
diego,33,verde2,0
diego,34,suerte5,1
diego,35,verde3,1
diego,36,estacion4,0
diego,37,suerte6,0
diego,38,azul1,0
diego,39,impuesto4,3
diego,40,azul2,0
