turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,1,1,2,1,3,no,3,suerte1
2,2,bob,4,1,5,1,6,no,6,estacion1
3,3,carla,1,5,6,1,7,no,7,gris1
4,4,diego,4,6,10,1,11,no,11,visita_carcel
5,1,ana,2,1,3,3,6,no,6,estacion1
6,2,bob,6,5,11,6,17,no,17,naranja1
7,3,carla,2,1,3,7,10,no,10,gris3
8,4,diego,6,4,10,11,21,no,21,parking
9,1,ana,5,3,8,6,14,no,14,rosa2
10,2,bob,1,2,3,17,20,no,20,naranja3
11,3,carla,3,4,7,10,17,no,17,naranja1
12,4,diego,1,4,5,21,26,no,26,estacion3
13,1,ana,5,6,11,14,25,no,25,rojo3
14,2,bob,4,2,6,20,26,no,26,estacion3
15,3,carla,3,6,9,17,26,no,26,estacion3
16,4,diego,2,4,6,26,32,no,32,verde1
17,1,ana,6,1,7,25,32,no,32,verde1
18,2,bob,5,1,6,26,32,no,32,verde1
19,3,carla,1,1,2,26,28,no,28,amarillo2
20,4,diego,4,5,9,32,1,si,1,salida
21,1,ana,2,5,7,32,39,no,39,impuesto4
22,2,bob,3,5,8,32,40,no,40,azul2
23,3,carla,2,6,8,28,36,no,36,estacion4
24,4,diego,2,2,4,1,5,no,5,impuesto1
25,1,ana,5,6,11,39,10,si,10,gris3
26,2,bob,3,4,7,40,7,si,7,gris1
27,3,carla,6,1,7,36,3,si,3,suerte1
28,4,diego,2,3,5,5,10,no,10,gris3
29,1,ana,6,2,8,10,18,no,18,suerte3
30,2,bob,2,5,7,7,14,no,14,rosa2
31,3,carla,3,5,8,3,11,no,11,visita_carcel
32,4,diego,4,1,5,10,15,no,15,rosa3
33,1,ana,2,5,7,18,25,no,25,rojo3
34,2,bob,1,5,6,14,20,no,20,naranja3
35,3,carla,4,6,10,11,21,no,21,parking
36,4,diego,3,1,4,15,19,no,19,naranja2
37,1,ana,3,5,8,25,33,no,33,verde2
38,2,bob,1,4,5,20,25,no,25,rojo3
39,3,carla,3,2,5,21,26,no,26,estacion3
40,4,diego,2,4,6,19,25,no,25,rojo3
41,1,ana,3,3,6,33,39,no,39,impuesto4
42,2,bob,5,6,11,25,36,no,36,estacion4
43,3,carla,2,4,6,26,32,no,32,verde1
44,4,diego,6,2,8,25,33,no,33,verde2
45,1,ana,2,1,3,39,2,si,2,morado1
46,2,bob,6,6,12,36,8,si,8,suerte2
47,3,carla,5,4,9,32,1,si,1,salida
48,4,diego,1,1,2,33,35,no,35,verde3
49,1,ana,4,6,10,2,12,no,12,rosa1
50,2,bob,6,3,9,8,17,no,17,naranja1
51,3,carla,3,6,9,1,10,no,10,gris3
52,4,diego,5,6,11,35,6,si,6,estacion1
53,1,ana,4,4,8,12,20,no,20,naranja3
54,2,bob,1,6,7,17,24,no,24,rojo2
55,3,carla,6,2,8,10,18,no,18,suerte3
56,4,diego,3,6,9,6,15,no,15,rosa3
57,1,ana,3,1,4,20,24,no,24,rojo2
58,2,bob,6,6,12,24,36,no,36,estacion4
59,3,carla,6,2,8,18,26,no,26,estacion3
60,4,diego,4,3,7,15,22,no,22,rojo1
61,1,ana,3,3,6,24,30,no,30,amarillo3
62,2,bob,5,4,9,36,5,si,5,impuesto1
63,3,carla,1,4,5,26,31,no,31,carcel
64,4,diego,3,3,6,22,28,no,28,amarillo2
65,1,ana,3,3,6,30,36,no,36,estacion4
66,2,bob,6,5,11,5,16,no,16,estacion2
67,3,carla,6,3,9,31,40,no,40,azul2
68,4,diego,4,2,6,28,34,no,34,suerte5
69,1,ana,5,3,8,36,4,si,4,morado2
70,2,bob,6,1,7,16,23,no,23,suerte4
71,3,carla,1,4,5,40,5,si,5,impuesto1
72,4,diego,3,4,7,34,1,si,1,salida
73,1,ana,2,6,8,4,12,no,12,rosa1
74,2,bob,5,1,6,23,29,no,29,impuesto3
75,3,carla,2,2,4,5,9,no,9,gris2
76,4,diego,6,6,12,1,13,no,13,impuesto2
77,1,ana,2,6,8,12,20,no,20,naranja3
78,2,bob,3,2,5,29,34,no,34,suerte5
79,3,carla,1,3,4,9,13,no,13,impuesto2
80,4,diego,1,5,6,13,19,no,19,naranja2
81,1,ana,5,5,10,20,30,no,30,amarillo3
82,2,bob,2,2,4,34,38,no,38,azul1
83,3,carla,5,4,9,13,22,no,22,rojo1
84,4,diego,5,6,11,19,30,no,30,amarillo3
85,1,ana,4,2,6,30,36,no,36,estacion4
86,2,bob,1,4,5,38,3,si,3,suerte1
87,3,carla,4,3,7,22,29,no,29,impuesto3
88,4,diego,1,1,2,30,32,no,32,verde1
89,1,ana,5,4,9,36,5,si,5,impuesto1
90,2,bob,2,5,7,3,10,no,10,gris3
91,3,carla,4,4,8,29,37,no,37,suerte6
92,4,diego,1,5,6,32,38,no,38,azul1
93,1,ana,4,6,10,5,15,no,15,rosa3
94,2,bob,6,2,8,10,18,no,18,suerte3
95,3,carla,3,1,4,37,1,si,1,salida
96,4,diego,3,3,6,38,4,si,4,morado2
97,1,ana,1,6,7,15,22,no,22,rojo1
98,2,bob,5,4,9,18,27,no,27,amarillo1
99,3,carla,5,1,6,1,7,no,7,gris1
100,4,diego,5,1,6,4,10,no,10,gris3
