turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,2,1,3,1,4,no,4,morado2
2,2,bob,6,4,10,1,11,no,11,visita_carcel
3,1,ana,5,3,8,4,12,no,12,rosa1
4,2,bob,1,2,3,11,14,no,14,rosa2
5,1,ana,3,4,7,12,19,no,19,naranja2
6,2,bob,1,4,5,14,19,no,19,naranja2
7,1,ana,5,6,11,19,30,no,30,amarillo3
8,2,bob,4,2,6,19,25,no,25,rojo3
9,1,ana,3,6,9,30,39,no,39,impuesto4
10,2,bob,2,4,6,25,31,no,31,carcel
11,1,ana,6,1,7,39,6,si,6,estacion1
12,2,bob,5,1,6,31,37,no,37,suerte6
13,1,ana,1,1,2,6,8,no,8,suerte2
14,2,bob,4,5,9,37,6,si,6,estacion1
15,1,ana,2,5,7,8,15,no,15,rosa3
16,2,bob,3,5,8,6,14,no,14,rosa2
17,1,ana,2,6,8,15,23,no,23,suerte4
18,2,bob,2,2,4,14,18,no,18,suerte3
19,1,ana,5,6,11,23,34,no,34,suerte5
20,2,bob,3,4,7,18,25,no,25,rojo3
21,1,ana,6,1,7,34,1,si,1,salida
22,2,bob,2,3,5,25,30,no,30,amarillo3
23,1,ana,6,2,8,1,9,no,9,gris2
24,2,bob,2,5,7,30,37,no,37,suerte6
25,1,ana,3,5,8,9,17,no,17,naranja1
26,2,bob,4,1,5,37,2,si,2,morado1
27,1,ana,2,5,7,17,24,no,24,rojo2
28,2,bob,1,5,6,2,8,no,8,suerte2
29,1,ana,4,6,10,24,34,no,34,suerte5
30,2,bob,3,1,4,8,12,no,12,rosa1
