posicion,nombre_casilla,visitas
1,salida,1
2,morado1,1
3,suerte1,0
4,morado2,1
5,impuesto1,0
6,estacion1,2
7,gris1,0
8,suerte2,2
9,gris2,1
10,gris3,0
11,visita_carcel,1
12,rosa1,2
13,impuesto2,0
14,rosa2,2
15,rosa3,1
16,estacion2,0
17,naranja1,1
18,suerte3,1
19,naranja2,2
20,naranja3,0
21,parking,0
22,rojo1,0
23,suerte4,1
24,rojo2,1
25,rojo3,2
26,estacion3,0
27,amarillo1,0
28,amarillo2,0
29,impuesto3,0
30,amarillo3,2
31,carcel,1
32,verde1,0
33,verde2,0
34,suerte5,2
35,verde3,0
36,estacion4,0
37,suerte6,2
38,azul1,0
39,impuesto4,1
40,azul2,0
