posicion,nombre_casilla,visitas
1,salida,0
2,morado1,0
3,suerte1,0
4,morado2,0
5,impuesto1,0
6,estacion1,0
7,gris1,0
8,suerte2,1
9,gris2,0
10,gris3,0
11,visita_carcel,0
12,rosa1,1
13,impuesto2,0
14,rosa2,0
15,rosa3,0
16,estacion2,1
17,naranja1,0
18,suerte3,1
19,naranja2,0
20,naranja3,0
21,parking,0
22,rojo1,1
23,suerte4,1
24,rojo2,0
25,rojo3,0
26,estacion3,0
27,amarillo1,1
28,amarillo2,0
29,impuesto3,0
30,amarillo3,0
31,carcel,1
32,verde1,1
33,verde2,0
34,suerte5,0
35,verde3,0
36,estacion4,0
37,suerte6,0
38,azul1,1
39,impuesto4,0
40,azul2,0
