jugador,posicion,nombre_casilla,visitas
ana,1,salida,0
ana,2,morado1,0
ana,3,suerte1,0
ana,4,morado2,0
ana,5,impuesto1,0
ana,6,estacion1,0
ana,7,gris1,0
ana,8,suerte2,1
ana,9,gris2,0
ana,10,gris3,0
ana,11,visita_carcel,0
ana,12,rosa1,0
ana,13,impuesto2,0
ana,14,rosa2,0
ana,15,rosa3,0
ana,16,estacion2,1
ana,17,naranja1,0
ana,18,suerte3,0
ana,19,naranja2,0
ana,20,naranja3,0
ana,21,parking,0
ana,22,rojo1,0
ana,23,suerte4,1
ana,24,rojo2,0
ana,25,rojo3,0
ana,26,estacion3,0
ana,27,amarillo1,0
ana,28,amarillo2,0
ana,29,impuesto3,0
ana,30,amarillo3,0
ana,31,carcel,1
ana,32,verde1,0
ana,33,verde2,0
ana,34,suerte5,0
ana,35,verde3,0
ana,36,estacion4,0
ana,37,suerte6,0
ana,38,azul1,1
ana,39,impuesto4,0
ana,40,azul2,0
bob,1,salida,0
bob,2,morado1,0
bob,3,suerte1,0
bob,4,morado2,0
bob,5,impuesto1,0
bob,6,estacion1,0
bob,7,gris1,0
bob,8,suerte2,0
bob,9,gris2,0
bob,10,gris3,0
bob,11,visita_carcel,0
bob,12,rosa1,1
bob,13,impuesto2,0
bob,14,rosa2,0
bob,15,rosa3,0
bob,16,estacion2,0
bob,17,naranja1,0
bob,18,suerte3,1
bob,19,naranja2,0
bob,20,naranja3,0
bob,21,parking,0
bob,22,rojo1,1
bob,23,suerte4,0
bob,24,rojo2,0
bob,25,rojo3,0
bob,26,estacion3,0
bob,27,amarillo1,1
bob,28,amarillo2,0
bob,29,impuesto3,0
bob,30,amarillo3,0
bob,31,carcel,0
bob,32,verde1,1
bob,33,verde2,0
bob,34,suerte5,0
bob,35,verde3,0
bob,36,estacion4,0
bob,37,suerte6,0
bob,38,azul1,0
bob,39,impuesto4,0
bob,40,azul2,0
