turno,jugador,propiedad,tipo,color,precio
2,bob,rosa1,propiedad,rosa,140
3,ana,estacion2,estacion,estacion,200
6,bob,rojo1,propiedad,rojo,220
8,bob,amarillo1,propiedad,amarillo,260
9,ana,azul1,propiedad,azul,350
10,bob,verde1,propiedad,verde,300
11,ana,morado1,propiedad,morado,60
12,bob,azul2,propiedad,azul,400
20,bob,rosa2,propiedad,rosa,140
21,ana,morado2,propiedad,morado,60
23,ana,gris1,propiedad,gris,100
28,bob,gris2,propiedad,gris,100
29,ana,rojo2,propiedad,rojo,220
31,ana,amarillo3,propiedad,amarillo,280
34,bob,rojo3,propiedad,rojo,240
36,bob,verde2,propiedad,verde,300
42,bob,naranja2,propiedad,naranja,180
45,ana,verde3,propiedad,verde,320
51,ana,gris3,propiedad,gris,120
52,bob,naranja1,propiedad,naranja,180
64,bob,naranja3,propiedad,naranja,200
66,bob,amarillo2,propiedad,amarillo,260
67,ana,estacion4,estacion,estacion,200
86,bob,rosa3,propiedad,rosa,160
