turno,compras_acumuladas
1,1
2,2
3,2
4,2
5,3
6,4
7,5
8,6
9,6
10,7
11,7
12,7
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,9
22,10
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,12
36,13
37,14
38,15
39,16
40,16
41,16
42,16
43,17
44,17
45,17
46,17
47,17
48,18
49,18
50,18
51,18
52,18
53,19
54,19
55,19
56,19
57,20
58,20
59,20
60,20
61,20
62,20
63,20
64,20
65,21
66,21
67,21
68,22
69,22
70,22
71,22
72,22
73,22
74,22
75,22
76,22
77,22
78,22
79,23
80,23
81,23
82,24
83,24
84,24
85,24
86,24
87,24
88,24
89,24
90,25
91,25
92,25
93,25
94,25
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,25
103,25
104,25
105,26
106,26
107,26
108,26
109,26
110,26
111,26
112,26
113,26
114,26
115,26
116,26
117,26
118,26
119,26
120,26
121,26
122,26
123,26
124,26
125,26
126,26
127,26
128,26
129,26
130,26
131,26
132,26
133,26
134,26
135,26
136,26
137,26
138,26
139,26
140,26
141,26
142,26
143,26
144,26
145,26
146,26
147,26
148,26
149,26
150,26
151,26
152,26
153,26
154,26
155,26
156,26
157,26
158,26
159,26
160,26
161,26
162,26
163,26
164,26
165,26
166,26
167,26
168,26
169,26
170,26
171,26
172,26
173,26
174,26
175,26
176,26
177,26
178,26
179,26
180,26
181,26
182,26
183,26
184,26
185,26
186,26
187,26
188,26
189,26
190,26
191,26
192,26
193,26
194,26
195,26
196,26
197,26
198,26
199,26
200,26
