turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
13,ana,bob,rosa2,propiedad,rosa,140,28,28,9500,9472,8740,8768
17,ana,bob,rojo1,propiedad,rojo,220,44,44,9292,9248,8568,8612
19,ana,bob,amarillo2,propiedad,amarillo,260,52,52,9248,9196,8612,8664
31,ana,bob,amarillo2,propiedad,amarillo,260,52,52,8696,8644,7984,8036
34,bob,ana,verde2,propiedad,verde,300,60,60,8036,7976,8644,8704
45,ana,bob,estacion3,estacion,estacion,200,40,40,8344,8304,7776,7816
52,bob,ana,rosa3,propiedad,rosa,160,32,32,7816,7784,8304,8336
55,ana,bob,amarillo2,propiedad,amarillo,260,52,52,8156,8104,7784,7836
59,ana,bob,estacion1,estacion,estacion,200,40,40,8104,8064,7776,7816
68,bob,ana,verde2,propiedad,verde,300,60,60,7696,7636,7804,7864
73,ana,bob,estacion3,estacion,estacion,200,40,40,7864,7824,7636,7676
79,ana,bob,estacion1,estacion,estacion,200,40,40,7824,7784,7676,7716
80,bob,ana,verde2,propiedad,verde,300,60,60,7716,7656,7784,7844
86,bob,ana,rosa3,propiedad,rosa,160,32,32,7656,7624,7844,7876
97,ana,bob,rojo2,propiedad,rojo,220,44,44,7876,7832,7404,7448
99,ana,bob,verde1,propiedad,verde,300,60,60,7832,7772,7448,7508
103,ana,bob,gris1,propiedad,gris,100,20,20,7422,7402,7188,7208
106,bob,ana,rosa1,propiedad,rosa,140,28,28,7208,7180,7402,7430
109,ana,bob,rojo1,propiedad,rojo,220,44,44,7430,7386,7180,7224
111,ana,bob,verde1,propiedad,verde,300,60,60,7386,7326,7224,7284
115,ana,bob,morado1,propiedad,morado,60,12,12,7326,7314,7284,7296
121,ana,bob,estacion3,estacion,estacion,200,40,40,7314,7274,7296,7336
122,bob,ana,rosa3,propiedad,rosa,160,32,32,7336,7304,7274,7306
123,ana,bob,verde1,propiedad,verde,300,60,60,7306,7246,7304,7364
130,bob,ana,morado2,propiedad,morado,60,12,12,7364,7352,7246,7258
131,ana,bob,rojo3,propiedad,rojo,240,48,48,7258,7210,7352,7400
137,ana,bob,morado1,propiedad,morado,60,12,12,7210,7198,7400,7412
138,bob,ana,verde2,propiedad,verde,300,60,60,7412,7352,7198,7258
143,ana,bob,rojo2,propiedad,rojo,220,44,44,7258,7214,7352,7396
144,bob,ana,naranja2,propiedad,naranja,180,36,36,7396,7360,7214,7250
147,ana,bob,morado1,propiedad,morado,60,12,12,7250,7238,7360,7372
148,bob,ana,verde2,propiedad,verde,300,60,60,7372,7312,7238,7298
160,bob,ana,amarillo1,propiedad,amarillo,260,52,52,7312,7260,7298,7350
164,bob,ana,morado2,propiedad,morado,60,12,12,7260,7248,7350,7362
165,ana,bob,rojo2,propiedad,rojo,220,44,44,7362,7318,7248,7292
167,ana,bob,verde3,propiedad,verde,320,64,64,7318,7254,7292,7356
168,bob,ana,naranja2,propiedad,naranja,180,36,36,7356,7320,7254,7290
171,ana,bob,gris1,propiedad,gris,100,20,20,7290,7270,7320,7340
173,ana,bob,rosa2,propiedad,rosa,140,28,28,7270,7242,7340,7368
175,ana,bob,rojo1,propiedad,rojo,220,44,44,7242,7198,7368,7412
176,bob,ana,gris2,propiedad,gris,100,20,20,7412,7392,7198,7218
185,ana,bob,rosa2,propiedad,rosa,140,28,28,7218,7190,7392,7420
186,bob,ana,verde2,propiedad,verde,300,60,60,7420,7360,7190,7250
193,ana,bob,gris3,propiedad,gris,120,24,24,7250,7226,7360,7384
196,bob,ana,naranja3,propiedad,naranja,200,40,40,7384,7344,7226,7266
199,ana,bob,rojo2,propiedad,rojo,220,44,44,7266,7222,7344,7388
200,bob,ana,azul2,propiedad,azul,400,80,80,7388,7308,7222,7302
