turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,1,12
15,1,12
16,1,12
17,1,12
18,1,12
19,1,12
20,1,12
21,1,12
22,1,12
23,1,12
24,1,12
25,2,40
26,2,40
27,2,40
28,2,40
29,2,40
30,3,80
31,3,80
32,3,80
33,3,80
34,3,80
35,3,80
36,3,80
37,3,80
38,4,92
39,4,92
40,4,92
41,4,92
42,4,92
43,4,92
44,4,92
45,4,92
46,4,92
47,4,92
48,5,104
49,5,104
50,5,104
51,5,104
52,5,104
53,5,104
54,5,104
55,6,156
56,6,156
57,6,156
58,6,156
59,6,156
60,6,156
61,7,176
62,7,176
63,7,176
64,7,176
65,7,176
66,7,176
67,7,176
68,8,216
69,8,216
70,8,216
71,9,252
72,9,252
73,9,252
74,9,252
75,10,312
76,10,312
77,10,312
78,10,312
79,10,312
80,10,312
81,10,312
82,11,324
83,11,324
84,12,344
85,12,344
86,12,344
87,12,344
88,12,344
89,12,344
90,12,344
91,12,344
92,12,344
93,13,380
94,13,380
95,13,380
96,14,404
97,14,404
98,15,444
99,15,444
100,15,444
101,15,444
102,15,444
103,15,444
104,15,444
105,16,472
106,17,496
107,18,540
108,18,540
109,19,592
110,19,592
111,19,592
112,19,592
113,19,592
114,20,662
115,20,662
116,21,674
117,22,702
118,23,722
119,24,766
120,24,766
121,24,766
122,24,766
123,25,826
124,25,826
125,25,826
126,25,826
127,25,826
128,26,866
129,26,866
130,26,866
131,27,910
132,28,934
133,28,934
134,28,934
135,28,934
136,28,934
137,28,934
138,29,990
139,30,1022
140,30,1022
141,31,1058
142,32,1070
143,32,1070
144,32,1070
145,33,1130
146,33,1130
147,33,1130
148,33,1130
149,33,1130
150,33,1130
151,34,1158
152,34,1158
153,34,1158
154,34,1158
155,35,1218
156,35,1218
157,35,1218
158,35,1218
159,35,1218
160,35,1218
161,35,1218
162,35,1218
163,36,1254
164,36,1254
165,37,1306
166,38,1326
167,39,1386
168,39,1386
169,39,1386
170,39,1386
171,39,1386
172,40,1442
173,41,1470
174,41,1470
175,42,1518
176,42,1518
177,42,1518
178,42,1518
179,42,1518
180,42,1518
181,42,1518
182,42,1518
183,43,1546
184,44,1610
185,45,1646
186,45,1646
187,46,1698
188,47,1710
189,47,1710
190,47,1710
191,47,1710
192,47,1710
193,47,1710
194,47,1710
195,48,1730
196,48,1730
197,49,1766
198,49,1766
199,49,1766
200,49,1766
