turno,alquileres_en_turno,importe_en_turno
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,28
13,0,0
14,1,40
15,0,0
16,1,32
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,1,40
26,0,0
27,1,28
28,0,0
29,1,28
30,0,0
31,0,0
32,0,0
33,1,40
34,1,32
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,1,52
41,0,0
42,1,56
43,0,0
44,0,0
45,0,0
46,1,80
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,1,40
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,1,12
72,0,0
73,1,48
74,1,24
75,0,0
76,0,0
77,1,40
78,1,36
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,1,52
87,1,60
88,0,0
89,1,28
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,1,24
96,0,0
97,0,0
98,0,0
99,1,28
100,1,28
101,1,56
102,1,40
103,0,0
104,1,44
105,0,0
106,0,0
107,1,44
108,0,0
109,1,20
110,1,40
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,12
120,1,28
121,1,44
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,36
128,0,0
129,0,0
130,1,36
131,1,52
132,0,0
133,1,40
134,0,0
135,1,70
136,1,80
137,0,0
138,1,52
139,1,80
140,1,20
141,0,0
142,1,64
143,0,0
144,1,28
145,1,48
146,0,0
147,1,40
148,1,44
149,0,0
150,0,0
151,0,0
152,1,56
153,0,0
154,1,36
155,0,0
156,1,70
157,0,0
158,0,0
159,0,0
160,0,0
161,1,28
162,1,52
163,1,20
164,0,0
165,0,0
166,1,60
167,0,0
168,0,0
169,1,48
170,0,0
171,0,0
172,1,52
173,1,40
174,0,0
175,1,52
176,1,64
177,0,0
178,0,0
179,0,0
180,1,40
181,0,0
182,1,36
183,1,12
184,0,0
185,1,36
186,0,0
187,1,20
188,1,32
189,0,0
190,0,0
191,0,0
192,1,36
193,0,0
194,1,70
195,0,0
196,1,40
197,0,0
198,0,0
199,0,0
200,1,52
