turno,jugador,dinero_final_turno
1,ana,10000
5,ana,9860
9,ana,9640
13,ana,9640
17,ana,9684
21,ana,9684
25,ana,9684
29,ana,9684
33,ana,9684
37,ana,9424
41,ana,9168
45,ana,9098
49,ana,9058
53,ana,9058
57,ana,9022
61,ana,9074
65,ana,8754
69,ana,8818
73,ana,8798
77,ana,8798
81,ana,8758
85,ana,8758
89,ana,8822
93,ana,8822
97,ana,8850
101,ana,8814
105,ana,8814
109,ana,8878
113,ana,8930
117,ana,8918
121,ana,8918
125,ana,8878
129,ana,8878
133,ana,8882
137,ana,8926
141,ana,8926
145,ana,8882
149,ana,8882
153,ana,8882
157,ana,8870
161,ana,8850
165,ana,8810
169,ana,8854
173,ana,8854
177,ana,8918
181,ana,8906
185,ana,8906
189,ana,8906
193,ana,8906
197,ana,8890
201,ana,9014
205,ana,9014
209,ana,8986
213,ana,8950
217,ana,8958
221,ana,8982
225,ana,8982
229,ana,8902
233,ana,8918
237,ana,8918
241,ana,8874
245,ana,8874
249,ana,8874
253,ana,8874
257,ana,8902
261,ana,8926
265,ana,8886
269,ana,8886
273,ana,8886
277,ana,8886
281,ana,8930
285,ana,8954
289,ana,8910
293,ana,8910
297,ana,8840
301,ana,8800
305,ana,8844
309,ana,8916
313,ana,8916
317,ana,8916
321,ana,8896
325,ana,8884
329,ana,8884
333,ana,8844
337,ana,8856
341,ana,8856
345,ana,8832
349,ana,8800
353,ana,8784
357,ana,8784
361,ana,8744
365,ana,8732
369,ana,8732
373,ana,8688
377,ana,8688
381,ana,8628
385,ana,8616
389,ana,8656
393,ana,8720
397,ana,8680
2,bob,9800
6,bob,9800
10,bob,9800
14,bob,9620
18,bob,9340
22,bob,9396
26,bob,9336
30,bob,9328
34,bob,9328
38,bob,9364
42,bob,9014
46,bob,9084
50,bob,9024
54,bob,8844
58,bob,8832
62,bob,8832
66,bob,8768
70,bob,8768
74,bob,8768
78,bob,8768
82,bob,8756
86,bob,8762
90,bob,8818
94,bob,8814
98,bob,8774
102,bob,8758
106,bob,8758
110,bob,8758
114,bob,8758
118,bob,8742
122,bob,8742
126,bob,8730
130,bob,8746
134,bob,8746
138,bob,8722
142,bob,8682
146,bob,8642
150,bob,8642
154,bob,8642
158,bob,8642
162,bob,8630
166,bob,8642
170,bob,8642
174,bob,8630
178,bob,8630
182,bob,8630
186,bob,8650
190,bob,8610
194,bob,8622
198,bob,8558
202,bob,8586
206,bob,8636
210,bob,8636
214,bob,8620
218,bob,8556
222,bob,8556
226,bob,8576
230,bob,8548
234,bob,8504
238,bob,8560
242,bob,8686
246,bob,8646
250,bob,8646
254,bob,8618
258,bob,8574
262,bob,8574
266,bob,8494
270,bob,8506
274,bob,8474
278,bob,8462
282,bob,8402
286,bob,8438
290,bob,8438
294,bob,8458
298,bob,8568
302,bob,8600
306,bob,8540
310,bob,8540
314,bob,8540
318,bob,8520
322,bob,8532
326,bob,8532
330,bob,8532
334,bob,8532
338,bob,8602
