turno,jugador,propiedades_despues
1,ana,0
5,ana,1
9,ana,2
13,ana,2
17,ana,2
21,ana,2
25,ana,2
29,ana,2
33,ana,2
37,ana,3
41,ana,4
45,ana,4
49,ana,4
53,ana,4
57,ana,4
61,ana,4
65,ana,5
69,ana,5
73,ana,5
77,ana,5
81,ana,5
85,ana,5
89,ana,5
93,ana,5
97,ana,5
101,ana,5
105,ana,5
109,ana,5
113,ana,5
117,ana,5
121,ana,5
125,ana,5
129,ana,5
133,ana,5
137,ana,5
141,ana,5
145,ana,5
149,ana,5
153,ana,5
157,ana,5
161,ana,5
165,ana,5
169,ana,5
173,ana,5
177,ana,5
181,ana,5
185,ana,5
189,ana,5
193,ana,5
197,ana,5
201,ana,5
205,ana,5
209,ana,5
213,ana,5
217,ana,5
221,ana,5
225,ana,5
229,ana,5
233,ana,5
237,ana,5
241,ana,5
245,ana,5
249,ana,5
253,ana,5
257,ana,5
261,ana,5
265,ana,5
269,ana,5
273,ana,5
277,ana,5
281,ana,5
285,ana,5
289,ana,5
293,ana,5
297,ana,5
301,ana,5
305,ana,5
309,ana,5
313,ana,5
317,ana,5
321,ana,5
325,ana,5
329,ana,5
333,ana,5
337,ana,5
341,ana,5
345,ana,5
349,ana,5
353,ana,5
357,ana,5
361,ana,5
365,ana,5
369,ana,5
373,ana,5
377,ana,5
381,ana,5
385,ana,5
389,ana,5
393,ana,5
397,ana,5
2,bob,1
6,bob,1
10,bob,1
14,bob,2
18,bob,3
22,bob,3
26,bob,4
30,bob,4
34,bob,4
38,bob,4
42,bob,5
46,bob,5
50,bob,6
54,bob,7
58,bob,7
62,bob,7
66,bob,7
70,bob,7
74,bob,7
78,bob,7
82,bob,7
86,bob,7
90,bob,7
94,bob,7
98,bob,7
102,bob,7
106,bob,7
110,bob,7
114,bob,7
118,bob,7
122,bob,7
126,bob,7
130,bob,7
134,bob,7
138,bob,7
142,bob,7
146,bob,7
150,bob,7
154,bob,7
158,bob,7
162,bob,7
166,bob,7
170,bob,7
174,bob,7
178,bob,7
182,bob,7
186,bob,7
190,bob,7
194,bob,7
198,bob,7
202,bob,7
206,bob,7
210,bob,7
214,bob,7
218,bob,7
222,bob,7
226,bob,7
230,bob,7
234,bob,7
238,bob,7
242,bob,7
246,bob,7
250,bob,7
254,bob,7
258,bob,7
262,bob,7
266,bob,7
270,bob,7
274,bob,7
278,bob,7
282,bob,7
286,bob,7
290,bob,7
294,bob,7
298,bob,7
302,bob,7
306,bob,7
310,bob,7
314,bob,7
318,bob,7
322,bob,7
326,bob,7
330,bob,7
334,bob,7
338,bob,7
342,bob,7
346,bob,7
350,bob,7
354,bob,7
358,bob,7
362,bob,7
366,bob,7
370,bob,7
374,bob,7
378,bob,7
382,bob,7
386,bob,7
390,bob,7
394,bob,7
398,bob,7
3,carla,0
7,carla,1
11,carla,1
15,carla,1
19,carla,1
23,carla,2
27,carla,2
31,carla,2
35,carla,2
39,carla,2
43,carla,2
47,carla,3
51,carla,4
55,carla,4
59,carla,4
63,carla,4
67,carla,4
71,carla,5
75,carla,6
79,carla,7
83,carla,7
87,carla,8
91,carla,8
95,carla,8
99,carla,9
103,carla,9
107,carla,9
111,carla,9
115,carla,9
119,carla,9
123,carla,9
127,carla,9
131,carla,9
135,carla,9
139,carla,9
143,carla,9
147,carla,9
151,carla,9
155,carla,9
159,carla,9
163,carla,9
167,carla,9
171,carla,9
175,carla,9
179,carla,9
