turno,jugador,dinero_final_turno
1,ana,10000
11,ana,10000
21,ana,10000
31,ana,9800
41,ana,9880
51,ana,9820
61,ana,9844
71,ana,9800
81,ana,9800
91,ana,9740
101,ana,9780
111,ana,9780
121,ana,9652
131,ana,9652
141,ana,9692
151,ana,9382
161,ana,9382
171,ana,9416
181,ana,9456
191,ana,9484
201,ana,9512
211,ana,9500
221,ana,9548
231,ana,9590
241,ana,9590
251,ana,9550
261,ana,9530
271,ana,9582
281,ana,9616
291,ana,9756
301,ana,9700
311,ana,9740
321,ana,9720
331,ana,9680
341,ana,9750
351,ana,9762
361,ana,9750
371,ana,9758
381,ana,9730
391,ana,9686
401,ana,9716
411,ana,9716
421,ana,9696
431,ana,9696
441,ana,9758
451,ana,9758
461,ana,9694
471,ana,9706
481,ana,9734
491,ana,9766
501,ana,9788
511,ana,9858
521,ana,9846
531,ana,9814
541,ana,9810
551,ana,9758
561,ana,9738
571,ana,9658
581,ana,9798
591,ana,9786
601,ana,9762
611,ana,9790
621,ana,9830
631,ana,9810
641,ana,9822
651,ana,9786
661,ana,9786
671,ana,9792
681,ana,9792
691,ana,9792
701,ana,9830
711,ana,9810
721,ana,9730
731,ana,9770
741,ana,9786
751,ana,9868
761,ana,9908
771,ana,9908
781,ana,10006
791,ana,10018
801,ana,10018
811,ana,9970
821,ana,9982
831,ana,9918
841,ana,9946
851,ana,9946
861,ana,10108
871,ana,10092
881,ana,10012
891,ana,10012
901,ana,10092
911,ana,10092
921,ana,10040
931,ana,10012
941,ana,10082
951,ana,10110
961,ana,10110
971,ana,10050
981,ana,10050
991,ana,10090
2,bob,10000
12,bob,10000
22,bob,9780
32,bob,9500
42,bob,9500
52,bob,9500
62,bob,9500
72,bob,9504
82,bob,9284
92,bob,9312
102,bob,9312
112,bob,9348
122,bob,9316
132,bob,9316
142,bob,9356
152,bob,9340
162,bob,9260
172,bob,9220
182,bob,9196
192,bob,9156
202,bob,9148
212,bob,9128
222,bob,9272
232,bob,9272
242,bob,9232
252,bob,9232
262,bob,9232
272,bob,9206
282,bob,9262
292,bob,9234
302,bob,9250
312,bob,9294
322,bob,9294
332,bob,9224
342,bob,9224
352,bob,9268
362,bob,9236
372,bob,9236
382,bob,9176
392,bob,9184
402,bob,9164
412,bob,9164
422,bob,9164
432,bob,9124
442,bob,9168
452,bob,9168
462,bob,9224
472,bob,9188
482,bob,9184
492,bob,9176
502,bob,9168
512,bob,9224
522,bob,9244
532,bob,9204
542,bob,9208
552,bob,9168
562,bob,9212
572,bob,9212
582,bob,9228
592,bob,9272
602,bob,9232
612,bob,9232
622,bob,9276
632,bob,9332
642,bob,9332
652,bob,9376
662,bob,9376
672,bob,9404
682,bob,9424
692,bob,9424
702,bob,9436
712,bob,9436
722,bob,9388
732,bob,9388
742,bob,9432
752,bob,9408
762,bob,9372
772,bob,9372
782,bob,9416
792,bob,9520
802,bob,9508
812,bob,9508
822,bob,9508
832,bob,9508
842,bob,9444
852,bob,9418
862,bob,9418
872,bob,9518
882,bob,9478
892,bob,9438
902,bob,9438
912,bob,9442
922,bob,9654
932,bob,9722
942,bob,9722
952,bob,9670
962,bob,9630
972,bob,9674
982,bob,9654
992,bob,9654
3,carla,9900
13,carla,9740
23,carla,9576
33,carla,9696
43,carla,9424
53,carla,9424
63,carla,9400
73,carla,9360
83,carla,9316
93,carla,9256
103,carla,9256
113,carla,9300
123,carla,9300
133,carla,9256
143,carla,9304
153,carla,9244
163,carla,9244
173,carla,9304
183,carla,9276
193,carla,9252
203,carla,9200
213,carla,9240
223,carla,9190
233,carla,9150
243,carla,9186
253,carla,9222
263,carla,9258
273,carla,9314
283,carla,9302
293,carla,9350
303,carla,9310
313,carla,9314
323,carla,9350
333,carla,9422
343,carla,9410
353,carla,9390
363,carla,9414
373,carla,9434
383,carla,9498
393,carla,9562
403,carla,9662
413,carla,9662
423,carla,9662
433,carla,9618
443,carla,9650
453,carla,9650
463,carla,9714
473,carla,9722
483,carla,9770
493,carla,9714
503,carla,9890
513,carla,9890
523,carla,10022
533,carla,10034
543,carla,10034
553,carla,10018
563,carla,10066
573,carla,10080
583,carla,10068
593,carla,10076
603,carla,10096
613,carla,10160
623,carla,10180
633,carla,10252
643,carla,10228
653,carla,10244
663,carla,10220
673,carla,10224
683,carla,10144
693,carla,10132
703,carla,10152
713,carla,10172
723,carla,10268
733,carla,10268
743,carla,10268
753,carla,10332
763,carla,10396
773,carla,10400
783,carla,10356
793,carla,10304
803,carla,10416
813,carla,10464
823,carla,10532
833,carla,10596
843,carla,10660
853,carla,10696
863,carla,10744
873,carla,10808
883,carla,10808
893,carla,10852
903,carla,10808
913,carla,10808
923,carla,10840
933,carla,10828
943,carla,10804
953,carla,10804
963,carla,10852
973,carla,10936
983,carla,11020
993,carla,11084
4,diego,9800
14,diego,9820
24,diego,9820
34,diego,9820
44,diego,9820
54,diego,9808
64,diego,9784
74,diego,9784
84,diego,9584
94,diego,9544
104,diego,9488
114,diego,9468
124,diego,9468
134,diego,9468
144,diego,9476
154,diego,9516
164,diego,9516
174,diego,9556
184,diego,9596
194,diego,9584
204,diego,9584
214,diego,9540
224,diego,9540
234,diego,9620
244,diego,9620
254,diego,9620
264,diego,9588
274,diego,9588
284,diego,9540
294,diego,9528
304,diego,9648
314,diego,9568
324,diego,9544
334,diego,9544
344,diego,9500
354,diego,9540
364,diego,9500
374,diego,9500
384,diego,9540
394,diego,9504
404,diego,9504
414,diego,9484
424,diego,9484
434,diego,9484
444,diego,9460
454,diego,9420
464,diego,9420
474,diego,9420
484,diego,9420
494,diego,9356
504,diego,9436
514,diego,9436
524,diego,9400
534,diego,9360
544,diego,9400
554,diego,9400
564,diego,9400
574,diego,9452
584,diego,9408
594,diego,9396
604,diego,9332
614,diego,9372
624,diego,9372
634,diego,9372
644,diego,9340
654,diego,9420
664,diego,9420
674,diego,9364
684,diego,9284
694,diego,9284
704,diego,9296
714,diego,9296
724,diego,9256
734,diego,9256
744,diego,9186
754,diego,9166
764,diego,9130
774,diego,9086
784,diego,9070
794,diego,9070
804,diego,8990
814,diego,9030
824,diego,9006
834,diego,9046
844,diego,9006
854,diego,8958
864,diego,8894
874,diego,8894
884,diego,8914
894,diego,8914
904,diego,8994
914,diego,8950
924,diego,8890
934,diego,8878
944,diego,8890
954,diego,8894
964,diego,8846
974,diego,8846
984,diego,8782
994,diego,8822
5,elena,10000
15,elena,9964
25,elena,9916
35,elena,9616
45,elena,9416
55,elena,9536
65,elena,9500
75,elena,9240
85,elena,9160
95,elena,9160
105,elena,9264
115,elena,9264
125,elena,9304
135,elena,9304
145,elena,9264
155,elena,9288
165,elena,9304
175,elena,9304
185,elena,9244
195,elena,9232
205,elena,9300
215,elena,9376
225,elena,9416
235,elena,9436
245,elena,9424
255,elena,9424
265,elena,9376
275,elena,9360
285,elena,9420
295,elena,9432
305,elena,9404
315,elena,9368
325,elena,9420
335,elena,9460
345,elena,9608
355,elena,9608
365,elena,9648
375,elena,9648
385,elena,9644
395,elena,9632
405,elena,9592
415,elena,9652
425,elena,9600
435,elena,9582
445,elena,9650
455,elena,9670
465,elena,9710
475,elena,9710
485,elena,9710
495,elena,9750
505,elena,9770
515,elena,9726
525,elena,9766
535,elena,9826
545,elena,9878
555,elena,9942
565,elena,9962
575,elena,9970
585,elena,10030
595,elena,10030
605,elena,10002
615,elena,10042
625,elena,9978
635,elena,9938
645,elena,9898
655,elena,9858
665,elena,9874
675,elena,9874
685,elena,9874
695,elena,9854
705,elena,9826
715,elena,9826
725,elena,9826
735,elena,9826
745,elena,9826
755,elena,9850
765,elena,9810
775,elena,9862
785,elena,9862
795,elena,9994
805,elena,9954
815,elena,9906
825,elena,9906
835,elena,9906
845,elena,9886
855,elena,9898
865,elena,9910
875,elena,9950
885,elena,9950
895,elena,9910
905,elena,9910
915,elena,9958
925,elena,9954
935,elena,9994
945,elena,10094
955,elena,10146
965,elena,10142
975,elena,10194
985,elena,10286
995,elena,10302
6,fernando,9960
16,fernando,9940
26,fernando,9740
36,fernando,9740
46,fernando,9740
56,fernando,9340
66,fernando,9360
76,fernando,9480
86,fernando,9560
96,fernando,9548
106,fernando,9484
116,fernando,9552
126,fernando,9544
136,fernando,9596
146,fernando,9552
156,fernando,9552
166,fernando,9562
176,fernando,9654
186,fernando,9634
196,fernando,9670
206,fernando,9634
216,fernando,9606
226,fernando,9606
236,fernando,9606
246,fernando,9626
256,fernando,9706
266,fernando,9702
276,fernando,9702
286,fernando,9736
296,fernando,9736
306,fernando,9752
316,fernando,9796
326,fernando,9784
336,fernando,9764
346,fernando,9856
356,fernando,9836
366,fernando,9820
376,fernando,9788
386,fernando,9744
396,fernando,9824
406,fernando,9824
416,fernando,9864
426,fernando,9960
436,fernando,10004
446,fernando,9952
456,fernando,10072
466,fernando,10072
476,fernando,10072
486,fernando,10112
496,fernando,10084
506,fernando,10068
516,fernando,10016
526,fernando,10028
536,fernando,10044
546,fernando,10052
556,fernando,10052
566,fernando,10016
576,fernando,10036
586,fernando,10128
596,fernando,10160
606,fernando,10160
616,fernando,10116
626,fernando,10060
636,fernando,10140
646,fernando,10272
656,fernando,10312
666,fernando,10312
676,fernando,10392
686,fernando,10652
696,fernando,10582
706,fernando,10642
716,fernando,10642
726,fernando,10722
736,fernando,10722
746,fernando,10670
756,fernando,10606
766,fernando,10646
776,fernando,10618
786,fernando,10618
796,fernando,10570
806,fernando,10602
816,fernando,10682
826,fernando,10674
836,fernando,10646
846,fernando,10742
856,fernando,10702
866,fernando,10702
876,fernando,10702
886,fernando,10770
896,fernando,10862
906,fernando,10862
916,fernando,10818
926,fernando,10898
936,fernando,10852
946,fernando,10812
956,fernando,10820
966,fernando,10784
976,fernando,10732
986,fernando,10692
996,fernando,10692
7,gema,10000
17,gema,9840
27,gema,9840
37,gema,9800
47,gema,9800
57,gema,9500
67,gema,9500
77,gema,9500
87,gema,9492
97,gema,9672
107,gema,9620
117,gema,9680
127,gema,9632
137,gema,9620
147,gema,9652
157,gema,9772
167,gema,9732
177,gema,9680
187,gema,9740
197,gema,9740
207,gema,9752
217,gema,9724
227,gema,9688
237,gema,9712
247,gema,9712
257,gema,9712
267,gema,9732
277,gema,9720
287,gema,9720
297,gema,9680
307,gema,9640
317,gema,9588
327,gema,9588
337,gema,9648
347,gema,9608
357,gema,9608
367,gema,9636
377,gema,9648
387,gema,9648
397,gema,9578
407,gema,9578
417,gema,9578
427,gema,9542
437,gema,9542
447,gema,9490
457,gema,9466
467,gema,9466
477,gema,9458
487,gema,9430
497,gema,9402
507,gema,9366
517,gema,9318
527,gema,9258
537,gema,9290
547,gema,9322
557,gema,9322
567,gema,9286
577,gema,9242
587,gema,9242
597,gema,9242
607,gema,9274
617,gema,9254
627,gema,9226
637,gema,9246
647,gema,9230
657,gema,9234
667,gema,9164
677,gema,9204
687,gema,9264
697,gema,9324
707,gema,9356
717,gema,9400
727,gema,9400
737,gema,9400
747,gema,9400
757,gema,9408
767,gema,9408
777,gema,9404
787,gema,9404
797,gema,9340
807,gema,9320
817,gema,9308
827,gema,9308
837,gema,9368
847,gema,9324
857,gema,9284
867,gema,9284
877,gema,9284
887,gema,9272
897,gema,9272
907,gema,9272
917,gema,9224
927,gema,9284
937,gema,9276
947,gema,9276
957,gema,9308
967,gema,9308
977,gema,9400
987,gema,9360
997,gema,9308
8,hugo,9980
18,hugo,9800
28,hugo,9764
38,hugo,9540
48,hugo,9480
58,hugo,9468
68,hugo,9480
78,hugo,9480
88,hugo,9436
98,hugo,9436
108,hugo,9488
118,hugo,9476
128,hugo,9476
138,hugo,9436
148,hugo,9396
158,hugo,9396
168,hugo,9396
178,hugo,9424
188,hugo,9424
198,hugo,9384
208,hugo,9384
218,hugo,9380
228,hugo,9416
238,hugo,9416
248,hugo,9380
258,hugo,9380
268,hugo,9380
278,hugo,9300
288,hugo,9296
298,hugo,9296
308,hugo,9252
318,hugo,9340
328,hugo,9380
338,hugo,9300
348,hugo,9300
358,hugo,9264
368,hugo,9300
378,hugo,9288
388,hugo,9288
398,hugo,9392
408,hugo,9420
418,hugo,9380
428,hugo,9416
438,hugo,9376
448,hugo,9348
458,hugo,9328
468,hugo,9296
478,hugo,9252
488,hugo,9252
498,hugo,9218
508,hugo,9242
518,hugo,9222
528,hugo,9222
538,hugo,9170
548,hugo,9130
558,hugo,9170
568,hugo,9130
578,hugo,9154
588,hugo,9118
598,hugo,9170
608,hugo,9222
618,hugo,9222
628,hugo,9254
638,hugo,9254
648,hugo,9210
658,hugo,9246
668,hugo,9166
678,hugo,9182
688,hugo,9182
698,hugo,9182
708,hugo,9142
718,hugo,9142
728,hugo,9178
738,hugo,9178
748,hugo,9146
758,hugo,9146
768,hugo,9130
778,hugo,9096
788,hugo,9092
798,hugo,9064
808,hugo,9064
818,hugo,9064
828,hugo,9004
838,hugo,8924
848,hugo,8904
858,hugo,8864
868,hugo,8820
878,hugo,8820
888,hugo,8756
898,hugo,8716
908,hugo,8688
918,hugo,8696
928,hugo,8652
938,hugo,8592
948,hugo,8592
958,hugo,8608
968,hugo,8576
978,hugo,8576
988,hugo,8576
998,hugo,8536
9,irene,9900
19,irene,9780
29,irene,9768
39,irene,9728
49,irene,9668
59,irene,9668
69,irene,9740
79,irene,9708
89,irene,9708
99,irene,9656
109,irene,9656
119,irene,9656
129,irene,9676
139,irene,9648
149,irene,9648
159,irene,9596
169,irene,9596
179,irene,9620
189,irene,9644
199,irene,9616
209,irene,9660
219,irene,9604
229,irene,9564
239,irene,9564
249,irene,9556
259,irene,9520
269,irene,9492
279,irene,9432
289,irene,9362
299,irene,9362
309,irene,9366
319,irene,9326
329,irene,9322
339,irene,9262
349,irene,9262
359,irene,9282
369,irene,9250
379,irene,9250
389,irene,9198
399,irene,9198
409,irene,9162
419,irene,9142
429,irene,9150
439,irene,9150
449,irene,9198
459,irene,9158
469,irene,9166
479,irene,9190
489,irene,9190
499,irene,9150
509,irene,9150
519,irene,9110
529,irene,9134
539,irene,9206
549,irene,9170
559,irene,9126
569,irene,9126
579,irene,9056
589,irene,9044
599,irene,9044
609,irene,9004
619,irene,8952
629,irene,8892
639,irene,8832
649,irene,8816
659,irene,8796
669,irene,8760
679,irene,8736
689,irene,8676
699,irene,8596
709,irene,8596
719,irene,8560
729,irene,8560
739,irene,8520
749,irene,8480
759,irene,8516
769,irene,8536
779,irene,8500
789,irene,8456
799,irene,8456
809,irene,8456
819,irene,8444
829,irene,8488
839,irene,8488
849,irene,8488
859,irene,8436
869,irene,8436
879,irene,8424
889,irene,8448
899,irene,8448
909,irene,8396
919,irene,8340
929,irene,8360
939,irene,8320
949,irene,8340
959,irene,8360
969,irene,8308
979,irene,8244
989,irene,8244
999,irene,8268
10,javier,10000
20,javier,9976
30,javier,9940
40,javier,9892
50,javier,9892
60,javier,9812
70,javier,9772
80,javier,9772
90,javier,9772
100,javier,9772
110,javier,9692
120,javier,9652
130,javier,9512
140,javier,9496
150,javier,9444
160,javier,9472
170,javier,9392
180,javier,9352
190,javier,9352
200,javier,9348
210,javier,9304
220,javier,9248
230,javier,9208
240,javier,9208
250,javier,9208
260,javier,9168
270,javier,9128
280,javier,9128
290,javier,9128
300,javier,9156
310,javier,9148
320,javier,9096
330,javier,9036
340,javier,8996
350,javier,8996
360,javier,8996
370,javier,8996
380,javier,8956
390,javier,8932
400,javier,8868
410,javier,8868
420,javier,8844
430,javier,8804
440,javier,8804
450,javier,8804
460,javier,8804
470,javier,8780
480,javier,8740
490,javier,8696
500,javier,8664
510,javier,8594
520,javier,8594
530,javier,8570
540,javier,8530
550,javier,8530
560,javier,8510
570,javier,8450
580,javier,8426
590,javier,8386
600,javier,8354
610,javier,8354
620,javier,8314
630,javier,8302
640,javier,8290
650,javier,8258
660,javier,8258
670,javier,8258
680,javier,8258
690,javier,8258
700,javier,8218
710,javier,8242
720,javier,8242
730,javier,8242
740,javier,8186
750,javier,8186
760,javier,8186
770,javier,8186
780,javier,8146
790,javier,8106
800,javier,8162
810,javier,8162
820,javier,8142
830,javier,8102
840,javier,8090
850,javier,8090
860,javier,8106
870,javier,8106
880,javier,8106
890,javier,8066
900,javier,8026
910,javier,8002
920,javier,7938
930,javier,7926
940,javier,7902
950,javier,7890
960,javier,7842
970,javier,7842
980,javier,7802
990,javier,7762
1000,javier,7762
