turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
6,fernando,diego,estacion1,estacion,estacion,200,40,40,10000,9960,9800,9840
8,hugo,carla,gris2,propiedad,gris,100,20,20,10000,9980,9900,9920
14,diego,carla,gris2,propiedad,gris,100,20,20,9840,9820,9740,9760
15,elena,carla,naranja2,propiedad,naranja,180,36,36,10000,9964,9760,9796
16,fernando,carla,gris2,propiedad,gris,100,20,20,9960,9940,9796,9816
20,javier,irene,gris3,propiedad,gris,120,24,24,10000,9976,9780,9804
25,elena,carla,rojo3,propiedad,rojo,240,48,48,9964,9916,9576,9624
28,hugo,carla,naranja2,propiedad,naranja,180,36,36,9800,9764,9624,9660
29,irene,carla,naranja2,propiedad,naranja,180,36,36,9804,9768,9660,9696
30,javier,hugo,naranja1,propiedad,naranja,180,36,36,9976,9940,9764,9800
37,gema,ana,estacion3,estacion,estacion,200,40,40,9840,9800,9800,9840
39,irene,ana,estacion3,estacion,estacion,200,40,40,9768,9728,9840,9880
40,javier,carla,rojo3,propiedad,rojo,240,48,48,9940,9892,9696,9744
48,hugo,elena,verde1,propiedad,verde,300,60,60,9540,9480,9416,9476
49,irene,elena,verde1,propiedad,verde,300,60,60,9728,9668,9476,9536
54,diego,ana,morado1,propiedad,morado,60,12,12,9820,9808,9820,9832
58,hugo,ana,morado1,propiedad,morado,60,12,12,9480,9468,9832,9844
60,javier,fernando,azul2,propiedad,azul,400,80,80,9892,9812,9340,9420
63,carla,irene,gris3,propiedad,gris,120,24,24,9424,9400,9668,9692
64,diego,irene,gris3,propiedad,gris,120,24,24,9808,9784,9692,9716
65,elena,hugo,naranja1,propiedad,naranja,180,36,36,9536,9500,9468,9504
68,hugo,irene,gris3,propiedad,gris,120,24,24,9504,9480,9716,9740
70,javier,diego,estacion1,estacion,estacion,200,40,40,9812,9772,9784,9824
71,ana,bob,rojo1,propiedad,rojo,220,44,44,9844,9800,9500,9544
72,bob,fernando,estacion2,estacion,estacion,200,40,40,9544,9504,9360,9400
73,carla,fernando,estacion2,estacion,estacion,200,40,40,9400,9360,9400,9440
74,diego,fernando,estacion2,estacion,estacion,200,40,40,9824,9784,9440,9480
79,irene,gema,rosa3,propiedad,rosa,160,32,32,9740,9708,9500,9532
83,carla,bob,rojo1,propiedad,rojo,220,44,44,9360,9316,9284,9328
85,elena,fernando,azul2,propiedad,azul,400,80,80,9240,9160,9480,9560
87,gema,fernando,estacion2,estacion,estacion,200,40,40,9532,9492,9560,9600
88,hugo,bob,rojo1,propiedad,rojo,220,44,44,9480,9436,9328,9372
91,ana,gema,verde2,propiedad,verde,300,60,60,9800,9740,9492,9552
92,bob,gema,verde2,propiedad,verde,300,60,60,9372,9312,9552,9612
93,carla,gema,verde2,propiedad,verde,300,60,60,9316,9256,9612,9672
94,diego,ana,estacion3,estacion,estacion,200,40,40,9584,9544,9740,9780
96,fernando,elena,amarillo2,propiedad,amarillo,260,52,52,9600,9548,9160,9212
99,irene,elena,amarillo2,propiedad,amarillo,260,52,52,9708,9656,9212,9264
