turno,jugador,propiedades_despues
1,ana,0
11,ana,0
21,ana,0
31,ana,1
41,ana,1
51,ana,2
61,ana,2
71,ana,2
81,ana,2
91,ana,2
2,bob,0
12,bob,0
22,bob,1
32,bob,2
42,bob,2
52,bob,2
62,bob,2
72,bob,2
82,bob,3
92,bob,3
3,carla,1
13,carla,2
23,carla,3
33,carla,3
43,carla,4
53,carla,4
63,carla,4
73,carla,4
83,carla,4
93,carla,4
4,diego,1
14,diego,1
24,diego,1
34,diego,1
44,diego,1
54,diego,1
64,diego,1
74,diego,1
84,diego,2
94,diego,2
5,elena,0
15,elena,0
25,elena,0
35,elena,1
45,elena,2
55,elena,2
65,elena,2
75,elena,3
85,elena,3
95,elena,3
6,fernando,0
16,fernando,0
26,fernando,1
36,fernando,1
46,fernando,1
56,fernando,2
66,fernando,3
76,fernando,3
86,fernando,3
96,fernando,3
7,gema,0
17,gema,1
27,gema,1
37,gema,1
47,gema,1
57,gema,2
67,gema,2
77,gema,2
87,gema,2
97,gema,2
8,hugo,0
18,hugo,1
28,hugo,1
38,hugo,2
48,hugo,2
58,hugo,2
68,hugo,2
78,hugo,2
88,hugo,2
98,hugo,2
9,irene,1
19,irene,2
29,irene,2
39,irene,2
49,irene,2
59,irene,2
69,irene,2
79,irene,2
89,irene,2
99,irene,2
10,javier,0
20,javier,0
30,javier,0
40,javier,0
50,javier,0
60,javier,0
70,javier,0
80,javier,0
90,javier,0
100,javier,0
