turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,1,12
15,1,12
16,1,12
17,1,12
18,1,12
19,1,12
20,1,12
21,1,12
22,1,12
23,1,12
24,1,12
25,2,40
26,2,40
27,2,40
28,2,40
29,2,40
30,3,80
31,3,80
32,3,80
33,3,80
34,3,80
35,3,80
36,3,80
37,3,80
38,4,92
39,4,92
40,4,92
41,4,92
42,4,92
43,4,92
44,4,92
45,4,92
46,4,92
47,4,92
48,5,104
49,5,104
50,5,104
51,5,104
52,5,104
53,5,104
54,5,104
55,6,156
56,6,156
57,6,156
58,6,156
59,6,156
60,6,156
61,7,176
62,7,176
63,7,176
64,7,176
65,7,176
66,7,176
67,7,176
68,8,216
69,8,216
70,8,216
71,9,252
72,9,252
73,9,252
74,9,252
75,10,312
76,10,312
77,10,312
78,10,312
79,10,312
80,10,312
81,10,312
82,11,324
83,11,324
84,12,344
85,12,344
86,12,344
87,12,344
88,12,344
89,12,344
90,12,344
91,12,344
92,12,344
93,13,380
94,13,380
95,13,380
96,14,404
97,14,404
98,15,444
99,15,444
100,15,444
