turno,alquileres_en_turno,importe_en_turno
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,1,44
16,0,0
17,0,0
18,0,0
19,1,56
20,0,0
21,0,0
22,0,0
23,0,0
24,1,40
25,0,0
26,0,0
27,1,12
28,1,12
29,0,0
30,1,32
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,1,36
37,0,0
38,0,0
39,1,44
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,1,70
46,0,0
47,0,0
48,1,80
49,1,40
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,1,36
58,1,48
59,1,52
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,1,64
67,1,20
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,1,20
74,1,20
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,1,36
81,1,40
82,1,48
83,1,70
84,0,0
85,0,0
86,1,64
87,0,0
88,1,56
89,0,0
90,0,0
91,1,20
92,0,0
93,0,0
94,1,24
95,1,28
96,0,0
97,0,0
98,1,40
99,0,0
100,0,0
101,1,36
102,1,52
103,0,0
104,0,0
105,0,0
106,0,0
107,1,64
108,0,0
109,0,0
110,0,0
111,0,0
112,1,52
113,0,0
114,0,0
115,0,0
116,0,0
117,1,12
118,1,28
119,1,32
120,0,0
121,1,28
122,0,0
123,0,0
124,1,40
125,1,40
126,1,52
127,1,56
128,0,0
129,0,0
130,1,40
131,1,64
132,0,0
133,1,60
134,0,0
135,0,0
136,1,44
137,0,0
138,1,24
139,1,20
140,0,0
141,0,0
142,1,40
143,0,0
144,1,80
145,1,44
146,1,40
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,1,12
158,0,0
159,0,0
160,1,44
161,1,20
162,1,32
163,1,20
164,1,56
165,1,40
166,1,44
167,0,0
168,1,40
169,0,0
170,0,0
171,0,0
172,1,12
173,0,0
174,1,12
175,1,64
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,1,12
182,0,0
183,1,20
184,0,0
185,0,0
186,0,0
187,0,0
188,1,52
189,0,0
190,1,40
191,0,0
192,1,56
193,0,0
194,1,44
195,1,40
196,0,0
197,1,60
198,1,64
199,1,60
200,1,40
201,0,0
202,1,12
203,1,70
204,0,0
205,0,0
206,1,20
207,1,40
208,0,0
209,1,28
210,1,40
211,0,0
212,0,0
213,1,36
214,1,52
215,0,0
216,0,0
217,1,44
218,1,64
219,1,40
220,0,0
221,1,40
222,0,0
223,0,0
224,1,40
225,0,0
226,1,20
227,0,0
228,1,28
229,1,80
230,1,28
231,1,28
232,0,0
233,1,12
234,1,44
235,0,0
236,1,56
237,0,0
238,0,0
239,1,56
240,1,70
241,1,44
242,0,0
243,0,0
244,1,40
245,0,0
246,1,80
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,1,40
253,0,0
254,1,28
255,0,0
256,0,0
257,0,0
258,1,44
259,1,64
260,0,0
261,1,40
262,0,0
263,0,0
264,1,60
265,1,40
266,1,80
267,1,12
268,1,12
269,0,0
270,0,0
271,1,20
272,0,0
273,0,0
274,1,32
275,1,40
276,1,36
277,0,0
278,1,48
279,1,44
280,0,0
281,0,0
282,1,60
283,0,0
284,1,52
285,1,36
286,0,0
287,0,0
288,1,60
289,1,44
290,0,0
291,1,20
292,1,80
293,0,0
294,0,0
295,0,0
296,1,40
297,1,70
298,0,0
299,1,36
300,0,0
301,1,40
302,1,44
303,0,0
304,0,0
305,0,0
306,1,60
307,1,60
308,0,0
309,1,48
310,0,0
311,0,0
312,1,52
313,1,52
314,0,0
315,1,12
316,1,40
317,0,0
318,1,32
319,0,0
320,1,40
321,1,20
322,1,48
323,1,28
324,1,28
325,1,40
326,0,0
327,0,0
328,1,40
329,0,0
330,0,0
331,0,0
332,0,0
333,1,40
334,0,0
335,1,70
336,1,52
337,1,40
338,0,0
339,1,12
340,0,0
341,0,0
342,1,40
343,0,0
344,1,12
345,1,24
346,0,0
347,0,0
348,0,0
349,1,32
350,1,40
351,0,0
352,1,28
353,1,44
354,0,0
355,0,0
356,1,40
357,0,0
358,0,0
359,0,0
360,0,0
361,1,40
362,1,40
363,1,20
364,1,60
365,1,12
366,0,0
367,1,28
368,0,0
369,1,28
370,0,0
371,1,48
372,1,12
373,1,44
374,0,0
375,1,52
376,0,0
377,1,52
378,1,80
379,0,0
380,0,0
381,1,60
382,0,0
383,0,0
384,1,40
385,1,12
386,1,28
387,0,0
388,1,52
389,1,40
390,1,48
391,1,32
392,1,64
393,0,0
394,1,60
395,0,0
396,0,0
397,1,40
398,1,80
399,1,52
400,0,0
