turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
1,1,ana,libre,no_aplica,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,10000,0,0,no
2,2,bob,libre,no_aplica,5,6,11,1,12,no,rosa1,propiedad,140,rosa,si,no,0,0,10000,10000,9860,0,1,no
3,1,ana,libre,no_aplica,6,2,8,8,16,no,estacion2,estacion,200,estacion,si,no,0,0,10000,10000,9800,0,1,no
4,2,bob,libre,no_aplica,2,4,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9860,9860,9860,1,1,no
5,1,ana,libre,no_aplica,4,3,7,16,23,no,suerte4,suerte,0,ninguno,no,no,0,0,9800,9800,9800,1,1,no
6,2,bob,libre,no_aplica,1,3,4,18,22,no,rojo1,propiedad,220,rojo,si,no,0,0,9860,9860,9640,1,2,no
7,1,ana,libre,no_aplica,4,4,8,23,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9800,9800,9800,1,1,no
8,2,bob,libre,no_aplica,3,2,5,22,27,no,amarillo1,propiedad,260,amarillo,si,no,0,0,9640,9640,9380,2,3,no
9,1,ana,encarcelado(0),pagar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9800,9600,9600,1,1,si
10,2,bob,libre,no_aplica,3,4,7,27,34,no,suerte5,suerte,0,ninguno,no,no,0,0,9380,9380,9380,3,3,no
11,1,ana,libre,no_aplica,2,3,5,11,16,no,estacion2,estacion,200,estacion,no,no,0,0,9600,9600,9600,1,1,no
12,2,bob,libre,no_aplica,3,1,4,34,38,no,azul1,propiedad,350,azul,si,no,0,0,9380,9380,9030,3,4,no
13,1,ana,libre,no_aplica,6,2,8,16,24,no,rojo2,propiedad,220,rojo,si,no,0,0,9600,9600,9380,1,2,no
14,2,bob,libre,no_aplica,5,1,6,38,4,si,morado2,propiedad,60,morado,si,no,0,0,9030,9030,8970,4,5,no
15,1,ana,libre,no_aplica,1,1,2,24,26,no,estacion3,estacion,200,estacion,si,no,0,0,9380,9380,9180,2,3,no
16,2,bob,libre,no_aplica,4,1,5,4,9,no,gris2,propiedad,100,gris,si,no,0,0,8970,8970,8870,5,6,no
17,1,ana,libre,no_aplica,1,5,6,26,32,no,verde1,propiedad,300,verde,si,no,0,0,9180,9180,8880,3,4,no
18,2,bob,libre,no_aplica,4,6,10,9,19,no,naranja2,propiedad,180,naranja,si,no,0,0,8870,8870,8690,6,7,no
19,1,ana,libre,no_aplica,2,1,3,32,35,no,verde3,propiedad,320,verde,si,no,0,0,8880,8880,8560,4,5,no
20,2,bob,libre,no_aplica,6,5,11,19,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,8690,8690,8410,7,8,no
21,1,ana,libre,no_aplica,2,1,3,35,38,no,azul1,propiedad,350,azul,no,si,70,70,8560,8560,8490,5,5,no
22,2,bob,libre,no_aplica,6,4,10,30,40,no,azul2,propiedad,400,azul,si,no,0,0,8480,8480,8080,8,9,no
23,1,ana,libre,no_aplica,5,3,8,38,6,si,estacion1,estacion,200,estacion,si,no,0,0,8490,8490,8290,5,6,no
24,2,bob,libre,no_aplica,1,2,3,40,3,si,suerte1,suerte,0,ninguno,no,no,0,0,8080,8080,8080,9,9,no
25,1,ana,libre,no_aplica,3,4,7,6,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,8290,8290,8290,6,6,no
26,2,bob,libre,no_aplica,1,4,5,3,8,no,suerte2,suerte,0,ninguno,no,no,0,0,8080,8080,8080,9,9,no
27,1,ana,libre,no_aplica,5,6,11,13,24,no,rojo2,propiedad,220,rojo,no,no,0,0,8290,8290,8290,6,6,no
28,2,bob,libre,no_aplica,4,2,6,8,14,no,rosa2,propiedad,140,rosa,si,no,0,0,8080,8080,7940,9,10,no
29,1,ana,libre,no_aplica,3,6,9,24,33,no,verde2,propiedad,300,verde,si,no,0,0,8290,8290,7990,6,7,no
30,2,bob,libre,no_aplica,2,4,6,14,20,no,naranja3,propiedad,200,naranja,si,no,0,0,7940,7940,7740,10,11,no
31,1,ana,libre,no_aplica,6,1,7,33,40,no,azul2,propiedad,400,azul,no,si,80,80,7990,7990,7910,7,7,no
32,2,bob,libre,no_aplica,5,1,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,7820,7820,7780,11,11,no
33,1,ana,libre,no_aplica,1,1,2,40,2,si,morado1,propiedad,60,morado,si,no,0,0,7950,7950,7890,7,8,no
34,2,bob,libre,no_aplica,4,5,9,26,35,no,verde3,propiedad,320,verde,no,si,64,64,7780,7780,7716,11,11,no
35,1,ana,libre,no_aplica,2,5,7,2,9,no,gris2,propiedad,100,gris,no,si,20,20,7954,7954,7934,8,8,no
36,2,bob,libre,no_aplica,3,5,8,35,3,si,suerte1,suerte,0,ninguno,no,no,0,0,7736,7736,7736,11,11,no
37,1,ana,libre,no_aplica,2,6,8,9,17,no,naranja1,propiedad,180,naranja,si,no,0,0,7934,7934,7754,8,9,no
38,2,bob,libre,no_aplica,2,2,4,3,7,no,gris1,propiedad,100,gris,si,no,0,0,7736,7736,7636,11,12,no
39,1,ana,libre,no_aplica,5,6,11,17,28,no,amarillo2,propiedad,260,amarillo,si,no,0,0,7754,7754,7494,9,10,no
40,2,bob,libre,no_aplica,3,4,7,7,14,no,rosa2,propiedad,140,rosa,no,no,0,0,7636,7636,7636,12,12,no
41,1,ana,libre,no_aplica,6,1,7,28,35,no,verde3,propiedad,320,verde,no,no,0,0,7494,7494,7494,10,10,no
42,2,bob,libre,no_aplica,2,3,5,14,19,no,naranja2,propiedad,180,naranja,no,no,0,0,7636,7636,7636,12,12,no
43,1,ana,libre,no_aplica,6,2,8,35,3,si,suerte1,suerte,0,ninguno,no,no,0,0,7494,7494,7494,10,10,no
44,2,bob,libre,no_aplica,2,5,7,19,26,no,estacion3,estacion,200,estacion,no,si,40,40,7636,7636,7596,12,12,no
45,1,ana,libre,no_aplica,3,5,8,3,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7534,7534,7534,10,10,no
46,2,bob,libre,no_aplica,4,1,5,26,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7596,7596,7596,12,12,no
47,1,ana,libre,no_aplica,2,5,7,11,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7534,7534,7534,10,10,no
48,2,bob,encarcelado(0),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7596,7596,7596,12,12,si
49,1,ana,libre,no_aplica,4,6,10,18,28,no,amarillo2,propiedad,260,amarillo,no,no,0,0,7534,7534,7534,10,10,no
50,2,bob,encarcelado(1),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7596,7596,7596,12,12,si
51,1,ana,libre,no_aplica,3,5,8,28,36,no,estacion4,estacion,200,estacion,si,no,0,0,7534,7534,7334,10,11,no
52,2,bob,encarcelado(2),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7596,7596,7596,12,12,si
53,1,ana,libre,no_aplica,3,2,5,36,1,si,salida,salida,0,ninguno,no,no,0,0,7334,7334,7334,11,11,no
54,2,bob,encarcelado(3),liberacion_automatica,2,4,6,11,17,no,naranja1,propiedad,180,naranja,no,si,36,36,7596,7596,7560,12,12,no
55,1,ana,libre,no_aplica,3,3,6,1,7,no,gris1,propiedad,100,gris,no,si,20,20,7370,7370,7350,11,11,no
56,2,bob,libre,no_aplica,5,6,11,17,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,7580,7580,7528,12,12,no
57,1,ana,libre,no_aplica,2,4,6,7,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,7402,7402,7402,11,11,no
58,2,bob,libre,no_aplica,6,2,8,28,36,no,estacion4,estacion,200,estacion,no,si,40,40,7528,7528,7488,12,12,no
59,1,ana,libre,no_aplica,2,1,3,13,16,no,estacion2,estacion,200,estacion,no,no,0,0,7442,7442,7442,11,11,no
60,2,bob,libre,no_aplica,6,6,12,36,8,si,suerte2,suerte,0,ninguno,no,no,0,0,7488,7488,7488,12,12,no
61,1,ana,libre,no_aplica,5,4,9,16,25,no,rojo3,propiedad,240,rojo,si,no,0,0,7442,7442,7202,11,12,no
62,2,bob,libre,no_aplica,1,1,2,8,10,no,gris3,propiedad,120,gris,si,no,0,0,7488,7488,7368,12,13,no
63,1,ana,libre,no_aplica,4,6,10,25,35,no,verde3,propiedad,320,verde,no,no,0,0,7202,7202,7202,12,12,no
64,2,bob,libre,no_aplica,6,3,9,10,19,no,naranja2,propiedad,180,naranja,no,no,0,0,7368,7368,7368,13,13,no
65,1,ana,libre,no_aplica,3,6,9,35,4,si,morado2,propiedad,60,morado,no,si,12,12,7202,7202,7190,12,12,no
66,2,bob,libre,no_aplica,5,6,11,19,30,no,amarillo3,propiedad,280,amarillo,no,no,0,0,7380,7380,7380,13,13,no
67,1,ana,libre,no_aplica,4,4,8,4,12,no,rosa1,propiedad,140,rosa,no,si,28,28,7190,7190,7162,12,12,no
68,2,bob,libre,no_aplica,1,6,7,30,37,no,suerte6,suerte,0,ninguno,no,no,0,0,7408,7408,7408,13,13,no
69,1,ana,libre,no_aplica,6,2,8,12,20,no,naranja3,propiedad,200,naranja,no,si,40,40,7162,7162,7122,12,12,no
70,2,bob,libre,no_aplica,3,6,9,37,6,si,estacion1,estacion,200,estacion,no,si,40,40,7448,7448,7408,13,13,no
71,1,ana,libre,no_aplica,3,1,4,20,24,no,rojo2,propiedad,220,rojo,no,no,0,0,7162,7162,7162,12,12,no
72,2,bob,libre,no_aplica,6,6,12,6,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7408,7408,7408,13,13,no
73,1,ana,libre,no_aplica,6,2,8,24,32,no,verde1,propiedad,300,verde,no,no,0,0,7162,7162,7162,12,12,no
74,2,bob,libre,no_aplica,4,3,7,18,25,no,rojo3,propiedad,240,rojo,no,si,48,48,7408,7408,7360,13,13,no
75,1,ana,libre,no_aplica,3,3,6,32,38,no,azul1,propiedad,350,azul,no,si,70,70,7210,7210,7140,12,12,no
76,2,bob,libre,no_aplica,5,4,9,25,34,no,suerte5,suerte,0,ninguno,no,no,0,0,7430,7430,7430,13,13,no
77,1,ana,libre,no_aplica,1,4,5,38,3,si,suerte1,suerte,0,ninguno,no,no,0,0,7140,7140,7140,12,12,no
78,2,bob,libre,no_aplica,3,3,6,34,40,no,azul2,propiedad,400,azul,no,no,0,0,7430,7430,7430,13,13,no
79,1,ana,libre,no_aplica,3,3,6,3,9,no,gris2,propiedad,100,gris,no,si,20,20,7140,7140,7120,12,12,no
80,2,bob,libre,no_aplica,6,5,11,40,11,si,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7450,7450,7450,13,13,no
81,1,ana,libre,no_aplica,6,3,9,9,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7120,7120,7120,12,12,no
82,2,bob,libre,no_aplica,4,2,6,11,17,no,naranja1,propiedad,180,naranja,no,si,36,36,7450,7450,7414,13,13,no
83,1,ana,libre,no_aplica,5,3,8,18,26,no,estacion3,estacion,200,estacion,no,no,0,0,7156,7156,7156,12,12,no
84,2,bob,libre,no_aplica,6,1,7,17,24,no,rojo2,propiedad,220,rojo,no,si,44,44,7414,7414,7370,13,13,no
85,1,ana,libre,no_aplica,1,4,5,26,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7200,7200,7200,12,12,no
86,2,bob,libre,no_aplica,3,4,7,24,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7370,7370,7370,13,13,no
87,1,ana,encarcelado(0),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7200,7200,7200,12,12,si
88,2,bob,encarcelado(0),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7370,7370,7370,13,13,si
89,1,ana,encarcelado(1),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7200,7200,7200,12,12,si
90,2,bob,encarcelado(1),tirar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7370,7370,7370,13,13,si
91,1,ana,libre,no_aplica,2,6,8,11,19,no,naranja2,propiedad,180,naranja,no,si,36,36,7200,7200,7164,12,12,no
92,2,bob,libre,no_aplica,3,2,5,11,16,no,estacion2,estacion,200,estacion,no,si,40,40,7406,7406,7366,13,13,no
93,1,ana,libre,no_aplica,1,3,4,19,23,no,suerte4,suerte,0,ninguno,no,no,0,0,7204,7204,7204,12,12,no
94,2,bob,libre,no_aplica,1,5,6,16,22,no,rojo1,propiedad,220,rojo,no,no,0,0,7366,7366,7366,13,13,no
