turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
21,ana,bob,azul1,propiedad,azul,350,70,70,8560,8490,8410,8480
31,ana,bob,azul2,propiedad,azul,400,80,80,7990,7910,7740,7820
32,bob,ana,estacion3,estacion,estacion,200,40,40,7820,7780,7910,7950
34,bob,ana,verde3,propiedad,verde,320,64,64,7780,7716,7890,7954
35,ana,bob,gris2,propiedad,gris,100,20,20,7954,7934,7716,7736
44,bob,ana,estacion3,estacion,estacion,200,40,40,7636,7596,7494,7534
54,bob,ana,naranja1,propiedad,naranja,180,36,36,7596,7560,7334,7370
55,ana,bob,gris1,propiedad,gris,100,20,20,7370,7350,7560,7580
56,bob,ana,amarillo2,propiedad,amarillo,260,52,52,7580,7528,7350,7402
58,bob,ana,estacion4,estacion,estacion,200,40,40,7528,7488,7402,7442
65,ana,bob,morado2,propiedad,morado,60,12,12,7202,7190,7368,7380
67,ana,bob,rosa1,propiedad,rosa,140,28,28,7190,7162,7380,7408
69,ana,bob,naranja3,propiedad,naranja,200,40,40,7162,7122,7408,7448
70,bob,ana,estacion1,estacion,estacion,200,40,40,7448,7408,7122,7162
74,bob,ana,rojo3,propiedad,rojo,240,48,48,7408,7360,7162,7210
75,ana,bob,azul1,propiedad,azul,350,70,70,7210,7140,7360,7430
79,ana,bob,gris2,propiedad,gris,100,20,20,7140,7120,7430,7450
82,bob,ana,naranja1,propiedad,naranja,180,36,36,7450,7414,7120,7156
84,bob,ana,rojo2,propiedad,rojo,220,44,44,7414,7370,7156,7200
91,ana,bob,naranja2,propiedad,naranja,180,36,36,7200,7164,7370,7406
92,bob,ana,estacion2,estacion,estacion,200,40,40,7406,7366,7164,7204
96,bob,ana,estacion3,estacion,estacion,200,40,40,7366,7326,7204,7244
100,bob,ana,morado1,propiedad,morado,60,12,12,7326,7314,7244,7256
