turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
1,1,ana,libre,no_aplica,3,4,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,10000,0,0,no
2,2,bob,libre,no_aplica,2,3,5,1,6,no,estacion1,estacion,200,estacion,si,no,0,0,10000,10000,9800,0,1,no
3,1,ana,libre,no_aplica,3,1,4,8,12,no,rosa1,propiedad,140,rosa,si,no,0,0,10000,10000,9860,0,1,no
4,2,bob,libre,no_aplica,6,2,8,6,14,no,rosa2,propiedad,140,rosa,si,no,0,0,9800,9800,9660,1,2,no
5,1,ana,libre,no_aplica,5,1,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9860,9860,9860,1,1,no
6,2,bob,libre,no_aplica,1,1,2,14,16,no,estacion2,estacion,200,estacion,si,no,0,0,9660,9660,9460,2,3,no
7,1,ana,libre,no_aplica,4,1,5,18,23,no,suerte4,suerte,0,ninguno,no,no,0,0,9860,9860,9860,1,1,no
8,2,bob,libre,no_aplica,1,5,6,16,22,no,rojo1,propiedad,220,rojo,si,no,0,0,9460,9460,9240,3,4,no
9,1,ana,libre,no_aplica,4,6,10,23,33,no,verde2,propiedad,300,verde,si,no,0,0,9860,9860,9560,1,2,no
10,2,bob,libre,no_aplica,2,1,3,22,25,no,rojo3,propiedad,240,rojo,si,no,0,0,9240,9240,9000,4,5,no
11,1,ana,libre,no_aplica,6,5,11,33,4,si,morado2,propiedad,60,morado,si,no,0,0,9560,9560,9500,2,3,no
12,2,bob,libre,no_aplica,2,1,3,25,28,no,amarillo2,propiedad,260,amarillo,si,no,0,0,9000,9000,8740,5,6,no
13,1,ana,libre,no_aplica,6,4,10,4,14,no,rosa2,propiedad,140,rosa,no,si,28,28,9500,9500,9472,3,3,no
14,2,bob,libre,no_aplica,5,3,8,28,36,no,estacion4,estacion,200,estacion,si,no,0,0,8768,8768,8568,6,7,no
15,1,ana,libre,no_aplica,1,2,3,14,17,no,naranja1,propiedad,180,naranja,si,no,0,0,9472,9472,9292,3,4,no
16,2,bob,libre,no_aplica,3,4,7,36,3,si,suerte1,suerte,0,ninguno,no,no,0,0,8568,8568,8568,7,7,no
17,1,ana,libre,no_aplica,1,4,5,17,22,no,rojo1,propiedad,220,rojo,no,si,44,44,9292,9292,9248,4,4,no
