turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
13,ana,bob,rosa2,propiedad,rosa,140,28,28,9500,9472,8740,8768
17,ana,bob,rojo1,propiedad,rojo,220,44,44,9292,9248,8568,8612
19,ana,bob,amarillo2,propiedad,amarillo,260,52,52,9248,9196,8612,8664
31,ana,bob,amarillo2,propiedad,amarillo,260,52,52,8696,8644,7984,8036
34,bob,ana,verde2,propiedad,verde,300,60,60,8036,7976,8644,8704
45,ana,bob,estacion3,estacion,estacion,200,40,40,8344,8304,7776,7816
48,bob,ana,naranja1,propiedad,naranja,180,36,36,7816,7780,8304,8340
50,bob,ana,naranja3,propiedad,naranja,200,40,40,7780,7740,8340,8380
55,ana,bob,amarillo2,propiedad,amarillo,260,52,52,8200,8148,7740,7792
59,ana,bob,estacion1,estacion,estacion,200,40,40,8148,8108,7792,7832
73,ana,bob,estacion3,estacion,estacion,200,40,40,7848,7808,7552,7592
79,ana,bob,estacion1,estacion,estacion,200,40,40,7808,7768,7272,7312
82,bob,ana,rosa3,propiedad,rosa,160,32,32,7312,7280,7768,7800
84,bob,ana,naranja2,propiedad,naranja,180,36,36,7280,7244,7800,7836
90,bob,ana,morado2,propiedad,morado,60,12,12,6894,6882,7836,7848
94,bob,ana,naranja3,propiedad,naranja,200,40,40,6882,6842,7848,7888
97,ana,bob,rojo2,propiedad,rojo,220,44,44,7888,7844,6842,6886
99,ana,bob,verde1,propiedad,verde,300,60,60,7844,7784,6886,6946
101,ana,bob,azul1,propiedad,azul,350,70,70,7784,7714,6946,7016
102,bob,ana,gris2,propiedad,gris,100,20,20,7016,6996,7714,7734
103,ana,bob,gris1,propiedad,gris,100,20,20,7734,7714,6996,7016
104,bob,ana,rosa3,propiedad,rosa,160,32,32,7016,6984,7714,7746
109,ana,bob,rojo1,propiedad,rojo,220,44,44,7746,7702,6984,7028
111,ana,bob,verde1,propiedad,verde,300,60,60,7702,7642,7028,7088
114,bob,ana,gris2,propiedad,gris,100,20,20,7088,7068,7642,7662
115,ana,bob,morado1,propiedad,morado,60,12,12,7662,7650,7068,7080
116,bob,ana,rosa3,propiedad,rosa,160,32,32,7080,7048,7650,7682
