turno,jugador,propiedad,tipo,color,precio
2,bob,estacion1,estacion,estacion,200
3,ana,rosa1,propiedad,rosa,140
4,bob,rosa2,propiedad,rosa,140
6,bob,estacion2,estacion,estacion,200
8,bob,rojo1,propiedad,rojo,220
9,ana,verde2,propiedad,verde,300
10,bob,rojo3,propiedad,rojo,240
11,ana,morado2,propiedad,morado,60
12,bob,amarillo2,propiedad,amarillo,260
14,bob,estacion4,estacion,estacion,200
15,ana,naranja1,propiedad,naranja,180
22,bob,amarillo3,propiedad,amarillo,280
23,ana,azul2,propiedad,azul,400
24,bob,verde1,propiedad,verde,300
25,ana,gris2,propiedad,gris,100
28,bob,gris1,propiedad,gris,100
41,ana,rosa3,propiedad,rosa,160
42,bob,estacion3,estacion,estacion,200
43,ana,naranja3,propiedad,naranja,200
53,ana,naranja2,propiedad,naranja,180
60,bob,rojo2,propiedad,rojo,220
63,ana,amarillo1,propiedad,amarillo,260
66,bob,morado1,propiedad,morado,60
76,bob,verde3,propiedad,verde,320
88,bob,azul1,propiedad,azul,350
