turno,jugador,propiedad,tipo,color,precio
1,ana,gris2,propiedad,gris,100
2,bob,gris1,propiedad,gris,100
5,ana,naranja1,propiedad,naranja,180
6,bob,rosa1,propiedad,rosa,140
7,carla,rosa3,propiedad,rosa,160
8,diego,gris3,propiedad,gris,120
10,bob,naranja3,propiedad,naranja,200
13,ana,estacion3,estacion,estacion,200
20,diego,rojo3,propiedad,rojo,240
22,bob,verde1,propiedad,verde,300
24,diego,amarillo3,propiedad,amarillo,280
25,ana,estacion2,estacion,estacion,200
26,bob,azul1,propiedad,azul,350
27,carla,amarillo1,propiedad,amarillo,260
28,diego,estacion4,estacion,estacion,200
30,bob,morado2,propiedad,morado,60
38,bob,naranja2,propiedad,naranja,180
40,diego,rosa2,propiedad,rosa,140
47,carla,rojo1,propiedad,rojo,220
49,ana,rojo2,propiedad,rojo,220
55,carla,verde2,propiedad,verde,300
59,carla,morado1,propiedad,morado,60
78,bob,amarillo2,propiedad,amarillo,260
81,ana,verde3,propiedad,verde,320
83,carla,estacion1,estacion,estacion,200
125,ana,azul2,propiedad,azul,400
