turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,suerte2,suerte,no,no,no,no,no,1500,1500,1500,0,0
2,bob,rosa1,propiedad,si,no,no,no,no,1500,1500,1360,0,1
3,ana,estacion2,estacion,si,no,no,no,no,1500,1500,1300,0,1
4,bob,suerte3,suerte,no,no,no,no,no,1360,1360,1360,1,1
5,ana,suerte4,suerte,no,no,no,no,no,1300,1300,1300,1,1
6,bob,rojo1,propiedad,si,no,no,no,no,1360,1360,1140,1,2
7,ana,visita_carcel,visita_carcel,no,no,no,no,no,1300,1300,1300,1,1
8,bob,amarillo1,propiedad,si,no,no,no,no,1140,1140,880,2,3
9,ana,visita_carcel,visita_carcel,no,no,no,no,no,1300,1300,1300,1,1
10,bob,verde1,propiedad,si,no,no,no,no,880,880,580,3,4
11,ana,visita_carcel,visita_carcel,no,no,no,no,no,1300,1300,1300,1,1
12,bob,azul2,propiedad,si,no,no,no,no,580,580,180,4,5
13,ana,visita_carcel,visita_carcel,no,no,no,no,no,1300,1300,1300,1,1
14,bob,morado1,propiedad,si,no,no,no,no,180,180,120,5,6
15,ana,estacion2,estacion,no,no,no,no,no,1300,1300,1300,1,1
16,bob,suerte2,suerte,no,no,no,no,no,120,120,120,6,6
17,ana,estacion3,estacion,si,no,no,no,no,1300,1300,1100,1,2
18,bob,visita_carcel,visita_carcel,no,no,no,no,no,120,120,120,6,6
19,ana,suerte6,suerte,no,no,no,no,no,1100,1100,1100,2,2
20,bob,rosa2,propiedad,no,no,no,no,no,120,120,120,6,6
21,ana,gris1,propiedad,si,no,no,no,no,1100,1100,1000,2,3
22,bob,rojo1,propiedad,no,no,no,no,no,120,120,120,6,6
23,ana,gris3,propiedad,si,no,no,no,no,1000,1000,880,3,4
24,bob,impuesto3,impuesto,no,no,si,no,no,120,120,20,6,6
25,ana,rosa3,propiedad,si,no,no,no,no,880,880,720,4,5
26,bob,azul2,propiedad,no,no,no,no,no,20,20,20,6,6
27,ana,parking,parking,no,no,no,no,no,720,720,720,5,5
28,bob,gris2,propiedad,no,no,no,no,no,20,20,20,6,6
29,ana,amarillo1,propiedad,no,si,no,no,no,720,720,668,5,5
30,bob,estacion2,estacion,no,si,no,no,no,72,72,32,6,6
31,ana,verde2,propiedad,si,no,no,no,no,708,708,408,5,6
32,bob,suerte3,suerte,no,no,no,no,no,32,32,32,6,6
33,ana,morado1,propiedad,no,si,no,no,no,408,408,396,6,6
34,bob,rojo3,propiedad,no,no,no,no,no,44,44,44,6,6
35,ana,gris3,propiedad,no,no,no,no,no,396,396,396,6,6
36,bob,verde2,propiedad,no,si,no,si,no,44,44,674,6,0
37,ana,rosa2,propiedad,si,no,no,no,no,456,456,316,6,7
38,bob,morado2,propiedad,si,no,no,no,no,674,674,614,0,1
39,ana,parking,parking,no,no,no,no,no,316,316,316,7,7
40,bob,visita_carcel,visita_carcel,no,no,no,no,no,614,614,614,1,1
41,ana,estacion3,estacion,no,no,no,no,no,316,316,316,7,7
42,bob,naranja2,propiedad,si,no,no,no,no,614,614,434,1,2
43,ana,verde2,propiedad,no,no,no,no,no,316,316,316,7,7
44,bob,amarillo1,propiedad,si,no,no,no,no,434,434,174,2,3
45,ana,azul1,propiedad,no,no,no,no,no,316,316,316,7,7
