turno,jugador,propiedad,tipo,color,precio
1,ana,gris2,propiedad,gris,100
2,bob,gris1,propiedad,gris,100
5,ana,naranja1,propiedad,naranja,180
6,bob,rosa1,propiedad,rosa,140
7,carla,rosa3,propiedad,rosa,160
8,diego,gris3,propiedad,gris,120
10,bob,naranja3,propiedad,naranja,200
13,ana,estacion3,estacion,estacion,200
21,ana,azul2,propiedad,azul,400
22,bob,estacion4,estacion,estacion,200
25,ana,estacion1,estacion,estacion,200
35,carla,rojo2,propiedad,rojo,220
36,diego,naranja2,propiedad,naranja,180
37,ana,amarillo1,propiedad,amarillo,260
38,bob,rojo1,propiedad,rojo,220
42,bob,amarillo3,propiedad,amarillo,280
47,carla,azul1,propiedad,azul,350
48,diego,morado1,propiedad,morado,60
51,carla,morado2,propiedad,morado,60
55,carla,rosa1,propiedad,rosa,140
58,bob,naranja3,propiedad,naranja,200
59,carla,rosa2,propiedad,rosa,140
63,carla,rojo3,propiedad,rojo,240
68,diego,verde2,propiedad,verde,300
80,carla,naranja3,propiedad,naranja,200
95,carla,rojo1,propiedad,rojo,220
96,diego,rosa3,propiedad,rosa,160
101,carla,estacion4,estacion,estacion,200
103,ana,rosa2,propiedad,rosa,140
107,carla,rosa1,propiedad,rosa,140
109,ana,amarillo1,propiedad,amarillo,260
118,ana,gris3,propiedad,gris,120
124,carla,morado2,propiedad,morado,60
126,carla,gris1,propiedad,gris,100
140,carla,rosa3,propiedad,rosa,160
