turno,jugador,casilla,importe,dinero_antes,dinero_despues
4,diego,impuesto1,200,1500,1300
18,bob,impuesto3,100,1048,948
26,bob,impuesto1,200,748,548
39,carla,impuesto3,100,1144,1044
49,ana,impuesto1,200,264,64
50,bob,impuesto1,200,44,-156
62,bob,impuesto3,100,214,114
64,diego,impuesto3,100,828,728
70,bob,impuesto1,200,114,-86
72,diego,impuesto4,100,428,328
75,diego,impuesto1,200,352,152
84,diego,impuesto3,100,124,24
90,diego,impuesto1,200,60,-140
97,ana,impuesto4,100,40,-60
98,carla,impuesto3,100,485,385
120,diego,impuesto3,100,18,-82
121,ana,impuesto2,150,90,-60
125,ana,impuesto3,100,156,56
132,carla,impuesto3,100,1,-99
147,ana,impuesto1,200,56,-144
149,carla,impuesto2,150,101,-49
155,carla,impuesto2,150,31,-119
