turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,suerte2,suerte,no,no,no,no,no,no,1500,1500,1500,0,0
2,bob,impuesto1,impuesto,no,no,si,no,no,no,1500,1500,1300,0,0
3,carla,gris2,propiedad,si,no,no,no,no,no,1500,1500,1400,0,1
4,diego,estacion1,estacion,si,no,no,no,no,no,1500,1500,1300,0,1
5,elena,suerte2,suerte,no,no,no,no,no,no,1500,1500,1500,0,0
6,fernando,estacion1,estacion,no,si,no,no,no,no,1500,1500,1460,0,0
7,gema,impuesto1,impuesto,no,no,si,no,no,no,1500,1500,1300,0,0
8,hugo,gris2,propiedad,no,si,no,no,no,no,1500,1500,1480,0,0
9,irene,gris1,propiedad,si,no,no,no,no,no,1500,1500,1400,0,1
10,javier,suerte1,suerte,no,no,no,no,no,no,1500,1500,1500,0,0
11,ana,impuesto2,impuesto,no,no,si,no,no,no,1500,1500,1350,0,0
12,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,1300,1300,1300,0,0
13,carla,naranja2,propiedad,si,no,no,no,no,no,1420,1420,1240,1,2
14,diego,gris2,propiedad,no,si,no,no,no,no,1340,1340,1320,1,1
15,elena,naranja2,propiedad,no,si,no,no,no,no,1500,1500,1464,0,0
16,fernando,gris2,propiedad,no,si,no,no,no,no,1460,1460,1440,0,0
17,gema,rosa3,propiedad,si,no,no,no,no,no,1300,1300,1140,0,1
18,hugo,naranja1,propiedad,si,no,no,no,no,no,1480,1480,1300,0,1
19,irene,gris3,propiedad,si,no,no,no,no,no,1400,1400,1280,1,2
20,javier,gris3,propiedad,no,si,no,no,no,no,1500,1500,1476,0,0
21,ana,suerte3,suerte,no,no,no,no,no,no,1350,1350,1350,0,0
22,bob,rojo1,propiedad,si,no,no,no,no,no,1300,1300,1080,0,1
23,carla,rojo3,propiedad,si,no,no,no,no,no,1316,1316,1076,2,3
24,diego,suerte3,suerte,no,no,no,no,no,no,1320,1320,1320,1,1
25,elena,rojo3,propiedad,no,si,no,no,no,no,1464,1464,1416,0,0
26,fernando,estacion2,estacion,si,no,no,no,no,no,1440,1440,1240,0,1
27,gema,parking,parking,no,no,no,si,no,no,1140,1140,1415,1,1
28,hugo,naranja2,propiedad,no,si,no,no,no,no,1300,1300,1264,1,1
29,irene,naranja2,propiedad,no,si,no,no,no,no,1304,1304,1268,2,2
30,javier,naranja1,propiedad,no,si,no,no,no,no,1476,1476,1440,0,0
31,ana,estacion3,estacion,si,no,no,no,no,no,1350,1350,1150,0,1
32,bob,amarillo3,propiedad,si,no,no,no,no,no,1080,1080,800,1,2
33,carla,impuesto3,impuesto,no,no,si,no,no,no,1196,1196,1096,3,3
34,diego,impuesto3,impuesto,no,no,si,no,no,no,1320,1320,1220,1,1
35,elena,verde1,propiedad,si,no,no,no,no,no,1416,1416,1116,0,1
36,fernando,suerte4,suerte,no,no,no,no,no,no,1240,1240,1240,1,1
37,gema,estacion3,estacion,no,si,no,no,no,no,1415,1415,1375,1,1
38,hugo,amarillo1,propiedad,si,no,no,no,no,no,1300,1300,1040,1,2
39,irene,estacion3,estacion,no,si,no,no,no,no,1268,1268,1228,2,2
40,javier,rojo3,propiedad,no,si,no,no,no,no,1440,1440,1392,0,0
41,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1230,1230,1230,1,1
42,bob,suerte6,suerte,no,no,no,no,no,no,800,800,800,2,2
43,carla,verde3,propiedad,si,no,no,no,no,no,1144,1144,824,3,4
44,diego,impuesto4,impuesto,no,no,si,no,no,no,1220,1220,1120,1,1
45,elena,estacion4,estacion,si,no,no,no,no,no,1116,1116,916,1,2
46,fernando,visita_carcel,visita_carcel,no,no,no,no,no,no,1240,1240,1240,1,1
47,gema,visita_carcel,visita_carcel,no,no,no,no,no,no,1375,1375,1375,1,1
48,hugo,verde1,propiedad,no,si,no,no,no,no,1040,1040,980,2,2
49,irene,verde1,propiedad,no,si,no,no,no,no,1228,1228,1168,2,2
50,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,1392,1392,1392,0,0
51,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1230,1230,1230,1,1
52,bob,suerte1,suerte,no,no,no,no,no,no,800,800,800,2,2
53,carla,suerte1,suerte,no,no,no,no,no,no,824,824,824,4,4
54,diego,morado1,propiedad,si,no,no,no,no,no,1120,1120,1060,1,2
55,elena,suerte2,suerte,no,no,no,no,no,no,1036,1036,1036,2,2
56,fernando,visita_carcel,visita_carcel,no,no,no,no,no,no,1240,1240,1240,1,1
57,gema,visita_carcel,visita_carcel,no,no,no,no,no,no,1375,1375,1375,1,1
58,hugo,morado1,propiedad,no,si,no,no,no,no,980,980,968,2,2
59,irene,salida,salida,no,no,no,no,no,no,1168,1168,1168,2,2
60,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,1392,1392,1392,0,0
61,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1230,1230,1230,1,1
62,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,800,800,800,2,2
63,carla,gris3,propiedad,no,si,no,no,no,no,824,824,800,4,4
64,diego,gris3,propiedad,no,si,no,no,no,no,1072,1072,1048,2,2
65,elena,naranja1,propiedad,no,si,no,no,no,no,1036,1036,1000,2,2
66,fernando,visita_carcel,visita_carcel,no,no,no,no,no,no,1240,1240,1240,1,1
67,gema,suerte4,suerte,no,no,no,no,no,no,1375,1375,1375,1,1
68,hugo,gris3,propiedad,no,si,no,no,no,no,1004,1004,980,2,2
69,irene,suerte2,suerte,no,no,no,no,no,no,1240,1240,1240,2,2
70,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,1392,1392,1392,0,0
71,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,1230,1230,1230,1,1
72,bob,estacion2,estacion,no,si,no,no,no,no,800,800,760,2,2
73,carla,estacion2,estacion,no,si,no,no,no,no,800,800,760,4,4
74,diego,estacion2,estacion,no,si,no,no,no,no,1048,1048,1008,2,2
75,elena,amarillo2,propiedad,si,no,no,no,no,no,1000,1000,740,2,3
76,fernando,visita_carcel,visita_carcel,no,no,no,no,no,no,1360,1360,1360,1,1
77,gema,impuesto3,impuesto,no,no,si,no,no,no,1375,1375,1275,1,1
78,hugo,suerte3,suerte,no,no,no,no,no,no,980,980,980,2,2
79,irene,rosa3,propiedad,no,si,no,no,no,no,1240,1240,1208,2,2
80,javier,estacion2,estacion,no,si,no,no,no,no,1392,1392,1352,0,0
81,ana,suerte3,suerte,no,no,no,no,no,no,1230,1230,1230,1,1
82,bob,rojo2,propiedad,si,no,no,no,no,no,760,760,540,2,3
83,carla,rojo1,propiedad,no,si,no,no,no,no,760,760,716,4,4
84,diego,naranja3,propiedad,si,no,no,no,no,no,1008,1008,808,2,3
85,elena,azul2,propiedad,si,no,no,no,no,no,740,740,340,3,4
86,fernando,naranja2,propiedad,no,si,no,no,no,no,1400,1400,1364,1,1
87,gema,suerte5,suerte,no,no,no,no,no,no,1307,1307,1307,1,1
88,hugo,rojo1,propiedad,no,si,no,no,no,no,980,980,936,2,2
89,irene,parking,parking,no,no,no,si,no,no,1208,1208,1545,2,2
90,javier,estacion3,estacion,no,si,no,no,no,no,1352,1352,1312,0,0
91,ana,rojo1,propiedad,no,si,no,no,no,no,1270,1270,1226,1,1
92,bob,verde2,propiedad,si,no,no,no,no,no,672,672,372,3,4
93,carla,verde2,propiedad,no,si,no,no,no,no,752,752,692,4,4
94,diego,estacion3,estacion,no,si,no,no,no,no,808,808,768,3,3
95,elena,impuesto1,impuesto,no,no,si,no,no,no,340,340,140,4,4
96,fernando,estacion3,estacion,no,si,no,no,no,no,1364,1364,1324,1,1
97,gema,estacion4,estacion,no,si,no,no,no,no,1307,1307,1267,1,1
98,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,936,936,936,2,2
99,irene,amarillo2,propiedad,no,si,no,no,no,no,1545,1545,1493,2,2
100,javier,suerte5,suerte,no,no,no,no,no,no,1312,1312,1312,0,0
101,ana,amarillo2,propiedad,no,si,no,no,no,no,1306,1306,1254,1,1
102,bob,suerte1,suerte,no,no,no,no,no,no,432,432,432,4,4
103,carla,salida,salida,no,no,no,no,no,no,692,692,692,4,4
104,diego,amarillo3,propiedad,no,si,no,no,no,no,768,768,712,3,3
105,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,284,284,284,4,4
106,fernando,verde2,propiedad,no,si,no,no,no,no,1324,1324,1264,1,1
107,gema,impuesto1,impuesto,no,no,si,no,no,no,1267,1267,1067,1,1
108,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,936,936,936,2,2
109,irene,suerte5,suerte,no,no,no,no,no,no,1493,1493,1493,2,2
110,javier,impuesto1,impuesto,no,no,si,no,no,no,1312,1312,1112,0,0
111,ana,verde1,propiedad,no,si,no,no,no,no,1254,1254,1194,1,1
112,bob,gris2,propiedad,no,si,no,no,no,no,548,548,528,4,4
113,carla,estacion1,estacion,no,si,no,no,no,no,712,712,672,4,4
114,diego,verde2,propiedad,no,si,no,no,no,no,752,752,692,3,3
115,elena,parking,parking,no,no,no,si,no,no,344,344,813,4,4
116,fernando,azul2,propiedad,no,si,no,no,no,no,1264,1264,1184,1,1
117,gema,rosa1,propiedad,si,no,no,no,no,no,1067,1067,927,1,2
118,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,936,936,936,2,2
119,irene,suerte6,suerte,no,no,no,no,no,no,1493,1493,1493,2,2
120,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,1112,1112,1112,0,0
121,ana,salida,salida,no,no,no,no,no,no,1194,1194,1194,1,1
122,bob,rosa3,propiedad,no,si,no,no,no,no,588,588,556,4,4
123,carla,impuesto2,impuesto,no,no,si,no,no,no,672,672,522,4,4
124,diego,estacion4,estacion,no,si,no,no,no,no,692,692,652,3,3
125,elena,impuesto3,impuesto,no,no,si,no,no,no,933,933,833,4,4
126,fernando,impuesto1,impuesto,no,no,si,no,no,no,1184,1184,984,1,1
127,gema,suerte3,suerte,no,no,no,no,no,no,959,959,959,2,2
128,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,936,936,936,2,2
129,irene,impuesto1,impuesto,no,no,si,no,no,no,1493,1493,1293,2,2
130,javier,naranja2,propiedad,no,si,no,no,no,no,1112,1112,1076,0,0
131,ana,gris3,propiedad,no,si,no,no,no,no,1194,1194,1170,1,1
132,bob,suerte3,suerte,no,no,no,no,no,no,556,556,556,4,4
133,carla,rojo2,propiedad,no,si,no,no,no,no,558,558,514,4,4
134,diego,impuesto1,impuesto,no,no,si,no,no,no,652,652,452,3,3
