turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real
6,fernando,diego,estacion1,estacion,estacion,200,40,40
8,hugo,carla,gris2,propiedad,gris,100,20,20
14,diego,carla,gris2,propiedad,gris,100,20,20
15,elena,carla,naranja2,propiedad,naranja,180,36,36
16,fernando,carla,gris2,propiedad,gris,100,20,20
20,javier,irene,gris3,propiedad,gris,120,24,24
25,elena,carla,rojo3,propiedad,rojo,240,48,48
28,hugo,carla,naranja2,propiedad,naranja,180,36,36
29,irene,carla,naranja2,propiedad,naranja,180,36,36
30,javier,hugo,naranja1,propiedad,naranja,180,36,36
37,gema,ana,estacion3,estacion,estacion,200,40,40
39,irene,ana,estacion3,estacion,estacion,200,40,40
40,javier,carla,rojo3,propiedad,rojo,240,48,48
48,hugo,elena,verde1,propiedad,verde,300,60,60
49,irene,elena,verde1,propiedad,verde,300,60,60
58,hugo,diego,morado1,propiedad,morado,60,12,12
63,carla,irene,gris3,propiedad,gris,120,24,24
64,diego,irene,gris3,propiedad,gris,120,24,24
65,elena,hugo,naranja1,propiedad,naranja,180,36,36
68,hugo,irene,gris3,propiedad,gris,120,24,24
72,bob,fernando,estacion2,estacion,estacion,200,40,40
73,carla,fernando,estacion2,estacion,estacion,200,40,40
74,diego,fernando,estacion2,estacion,estacion,200,40,40
79,irene,gema,rosa3,propiedad,rosa,160,32,32
80,javier,fernando,estacion2,estacion,estacion,200,40,40
83,carla,bob,rojo1,propiedad,rojo,220,44,44
86,fernando,carla,naranja2,propiedad,naranja,180,36,36
88,hugo,bob,rojo1,propiedad,rojo,220,44,44
90,javier,ana,estacion3,estacion,estacion,200,40,40
91,ana,bob,rojo1,propiedad,rojo,220,44,44
93,carla,bob,verde2,propiedad,verde,300,60,60
94,diego,ana,estacion3,estacion,estacion,200,40,40
96,fernando,ana,estacion3,estacion,estacion,200,40,40
97,gema,elena,estacion4,estacion,estacion,200,40,40
99,irene,elena,amarillo2,propiedad,amarillo,260,52,52
101,ana,elena,amarillo2,propiedad,amarillo,260,52,52
104,diego,bob,amarillo3,propiedad,amarillo,280,56,56
106,fernando,bob,verde2,propiedad,verde,300,60,60
111,ana,elena,verde1,propiedad,verde,300,60,60
112,bob,carla,gris2,propiedad,gris,100,20,20
