turno,jugador,propiedad,tipo,color,precio
2,bob,rosa1,propiedad,rosa,140
3,ana,estacion2,estacion,estacion,200
6,bob,rojo1,propiedad,rojo,220
8,bob,amarillo1,propiedad,amarillo,260
10,bob,verde1,propiedad,verde,300
12,bob,azul2,propiedad,azul,400
14,bob,morado1,propiedad,morado,60
17,ana,estacion3,estacion,estacion,200
21,ana,gris1,propiedad,gris,100
23,ana,gris3,propiedad,gris,120
25,ana,rosa3,propiedad,rosa,160
31,ana,verde2,propiedad,verde,300
37,ana,rosa2,propiedad,rosa,140
38,bob,morado2,propiedad,morado,60
42,bob,naranja2,propiedad,naranja,180
44,bob,amarillo1,propiedad,amarillo,260
45,ana,azul1,propiedad,azul,350
50,bob,rosa1,propiedad,rosa,140
55,ana,amarillo3,propiedad,amarillo,280
58,bob,verde1,propiedad,verde,300
59,ana,gris3,propiedad,gris,120
61,ana,rosa1,propiedad,rosa,140
77,ana,morado1,propiedad,morado,60
82,bob,morado1,propiedad,morado,60
