turno,jugador,casilla,importe,dinero_antes,dinero_despues,caja_antes,caja_despues
4,diego,impuesto1,200,1500,1300,0,200
18,bob,impuesto3,100,1048,948,50,150
26,bob,impuesto1,200,748,548,150,350
39,carla,impuesto3,100,1194,1094,350,450
49,ana,impuesto1,200,364,164,450,650
50,bob,impuesto1,200,44,-156,650,850
62,bob,impuesto3,100,214,114,425,525
64,diego,impuesto3,100,1253,1153,525,625
70,bob,impuesto1,200,114,-86,625,825
72,diego,impuesto4,100,853,753,825,925
75,diego,impuesto1,200,777,577,925,1125
84,diego,impuesto3,100,1111,1011,563,663
90,diego,impuesto1,200,1047,847,663,863
97,ana,impuesto4,100,92,-8,863,963
98,carla,impuesto3,100,80,-20,963,1063
120,diego,impuesto3,100,159,59,1063,1163
121,ana,impuesto2,150,238,88,1163,1313
125,carla,impuesto1,200,75,-125,1313,1513
133,ana,impuesto1,200,52,-148,1513,1713
162,diego,impuesto2,150,123,-27,857,1007
179,carla,impuesto4,100,13,-87,1007,1107
182,carla,impuesto1,200,283,83,554,754
185,carla,impuesto2,150,83,-67,754,904
193,diego,impuesto2,150,76,-74,904,1054
195,diego,impuesto3,100,351,251,1054,1154
