turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,no,0,0,suerte2,suerte,no,no,no,no,no,no,10000,10000,10000,10000,0,0
2,bob,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,10000,10000,10000,9800,0,0
3,carla,no,0,0,gris2,propiedad,si,no,no,no,no,no,10000,10000,10000,9900,0,1
4,diego,no,0,0,estacion1,estacion,si,no,no,no,no,no,10000,10000,10000,9800,0,1
5,elena,no,0,0,suerte2,suerte,no,no,no,no,no,no,10000,10000,10000,10000,0,0
6,fernando,no,0,0,estacion1,estacion,no,si,no,no,no,no,10000,10000,10000,9960,0,0
7,gema,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,10000,10000,10000,9800,0,0
8,hugo,no,0,0,gris2,propiedad,no,si,no,no,no,no,10000,10000,10000,9980,0,0
9,irene,no,0,0,gris1,propiedad,si,no,no,no,no,no,10000,10000,10000,9900,0,1
10,javier,no,0,0,suerte1,suerte,no,no,no,no,no,no,10000,10000,10000,10000,0,0
11,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,10000,10000,10000,9850,0,0
12,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9800,9800,9800,9800,0,0
13,carla,no,0,0,naranja2,propiedad,si,no,no,no,no,no,9920,9920,9920,9740,1,2
14,diego,no,0,0,gris2,propiedad,no,si,no,no,no,no,9840,9840,9840,9820,1,1
15,elena,no,0,0,naranja2,propiedad,no,si,no,no,no,no,10000,10000,10000,9964,0,0
16,fernando,no,0,0,gris2,propiedad,no,si,no,no,no,no,9960,9960,9960,9940,0,0
17,gema,no,0,0,rosa3,propiedad,si,no,no,no,no,no,9800,9800,9800,9640,0,1
18,hugo,no,0,0,naranja1,propiedad,si,no,no,no,no,no,9980,9980,9980,9800,0,1
19,irene,no,0,0,gris3,propiedad,si,no,no,no,no,no,9900,9900,9900,9780,1,2
20,javier,no,0,0,gris3,propiedad,no,si,no,no,no,no,10000,10000,10000,9976,0,0
21,ana,no,0,0,suerte3,suerte,no,no,no,no,no,no,9850,9850,9850,9850,0,0
22,bob,no,0,0,rojo1,propiedad,si,no,no,no,no,no,9800,9800,9800,9580,0,1
23,carla,no,0,0,rojo3,propiedad,si,no,no,no,no,no,9816,9816,9816,9576,2,3
24,diego,no,0,0,suerte3,suerte,no,no,no,no,no,no,9820,9820,9820,9820,1,1
25,elena,no,0,0,rojo3,propiedad,no,si,no,no,no,no,9964,9964,9964,9916,0,0
26,fernando,no,0,0,estacion2,estacion,si,no,no,no,no,no,9940,9940,9940,9740,0,1
27,gema,no,0,0,parking,parking,no,no,no,si,no,no,9640,9640,9640,9915,1,1
28,hugo,no,0,0,naranja2,propiedad,no,si,no,no,no,no,9800,9800,9800,9764,1,1
29,irene,no,0,0,naranja2,propiedad,no,si,no,no,no,no,9804,9804,9804,9768,2,2
30,javier,no,0,0,naranja1,propiedad,no,si,no,no,no,no,9976,9976,9976,9940,0,0
31,ana,no,0,0,estacion3,estacion,si,no,no,no,no,no,9850,9850,9850,9650,0,1
32,bob,no,0,0,amarillo3,propiedad,si,no,no,no,no,no,9580,9580,9580,9300,1,2
33,carla,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9696,9696,9696,9596,3,3
34,diego,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9820,9820,9820,9720,1,1
35,elena,no,0,0,verde1,propiedad,si,no,no,no,no,no,9916,9916,9916,9616,0,1
36,fernando,no,0,0,suerte4,suerte,no,no,no,no,no,no,9740,9740,9740,9740,1,1
37,gema,no,0,0,estacion3,estacion,no,si,no,no,no,no,9915,9915,9915,9875,1,1
38,hugo,no,0,0,amarillo1,propiedad,si,no,no,no,no,no,9800,9800,9800,9540,1,2
39,irene,no,0,0,estacion3,estacion,no,si,no,no,no,no,9768,9768,9768,9728,2,2
40,javier,no,0,0,rojo3,propiedad,no,si,no,no,no,no,9940,9940,9940,9892,0,0
41,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9730,9730,9730,9730,1,1
42,bob,no,0,0,suerte6,suerte,no,no,no,no,no,no,9300,9300,9300,9300,2,2
43,carla,no,0,0,verde3,propiedad,si,no,no,no,no,no,9644,9644,9644,9324,3,4
44,diego,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9720,9720,9720,9620,1,1
45,elena,no,0,0,estacion4,estacion,si,no,no,no,no,no,9616,9616,9616,9416,1,2
46,fernando,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9740,9740,9740,9740,1,1
47,gema,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9875,9875,9875,9875,1,1
48,hugo,no,0,0,verde1,propiedad,no,si,no,no,no,no,9540,9540,9540,9480,2,2
49,irene,no,0,0,verde1,propiedad,no,si,no,no,no,no,9728,9728,9728,9668,2,2
50,javier,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9892,9892,9892,9892,0,0
51,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9730,9730,9530,9530,1,1
52,bob,no,0,0,suerte2,suerte,no,no,no,no,no,no,9300,9300,9300,9300,2,2
53,carla,no,0,0,salida,salida,no,no,no,no,no,no,9324,9324,9324,9324,4,4
54,diego,no,0,0,gris1,propiedad,no,si,no,no,no,no,9620,9620,9620,9600,1,1
55,elena,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,9536,9536,9536,9436,2,2
56,fernando,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9740,9740,9540,9540,1,1
57,gema,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9875,9875,9675,9675,1,1
58,hugo,no,0,0,morado2,propiedad,si,no,no,no,no,no,9480,9480,9480,9420,2,3
59,irene,no,0,0,salida,salida,no,no,no,no,no,no,9688,9688,9688,9688,2,2
60,javier,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9892,9892,9692,9692,0,0
61,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,9530,9530,9530,9380,1,1
62,bob,no,0,0,suerte3,suerte,no,no,no,no,no,no,9300,9300,9300,9300,2,2
63,carla,no,0,0,gris3,propiedad,no,si,no,no,no,no,9324,9324,9324,9300,4,4
64,diego,no,0,0,estacion2,estacion,no,si,no,no,no,no,9600,9600,9600,9560,1,1
65,elena,no,0,0,gris3,propiedad,no,si,no,no,no,no,9436,9436,9436,9412,2,2
66,fernando,no,0,0,naranja2,propiedad,no,si,no,no,no,no,9580,9580,9580,9544,1,1
67,gema,no,0,0,suerte3,suerte,no,no,no,no,no,no,9675,9675,9675,9675,1,1
68,hugo,no,0,0,rosa1,propiedad,si,no,no,no,no,no,9420,9420,9420,9280,3,4
69,irene,no,0,0,gris3,propiedad,no,no,no,no,no,no,9736,9736,9736,9736,2,2
70,javier,no,0,0,rosa3,propiedad,no,si,no,no,no,no,9692,9692,9692,9660,0,0
71,ana,no,0,0,rojo3,propiedad,no,si,no,no,no,no,9380,9380,9380,9332,1,1
72,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,9300,9300,9300,9260,2,2
73,carla,no,0,0,naranja1,propiedad,no,si,no,no,no,no,9384,9384,9384,9348,4,4
74,diego,no,0,0,rojo1,propiedad,no,si,no,no,no,no,9560,9560,9560,9516,1,1
75,elena,no,0,0,naranja2,propiedad,no,si,no,no,no,no,9412,9412,9412,9376,2,2
76,fernando,no,0,0,rojo2,propiedad,si,no,no,no,no,no,9544,9544,9544,9324,1,2
77,gema,no,0,0,rojo2,propiedad,no,si,no,no,no,no,9707,9707,9707,9663,1,1
78,hugo,no,0,0,suerte3,suerte,no,no,no,no,no,no,9316,9316,9316,9316,4,4
79,irene,no,0,0,parking,parking,no,no,no,si,no,no,9736,9736,9736,10148,2,2
80,javier,no,0,0,rojo2,propiedad,no,si,no,no,no,no,9660,9660,9660,9616,0,0
81,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9372,9372,9372,9372,1,1
82,bob,no,0,0,suerte5,suerte,no,no,no,no,no,no,9304,9304,9304,9304,2,2
83,carla,no,0,0,rojo2,propiedad,no,si,no,no,no,no,9384,9384,9384,9340,4,4
84,diego,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9516,9516,9516,9464,1,1
85,elena,no,0,0,estacion3,estacion,no,si,no,no,no,no,9376,9376,9376,9336,2,2
86,fernando,no,0,0,verde1,propiedad,no,si,no,no,no,no,9456,9456,9456,9396,2,2
87,gema,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9663,9663,9663,9607,1,1
88,hugo,no,0,0,rojo1,propiedad,no,si,no,no,no,no,9368,9368,9368,9324,4,4
89,irene,no,0,0,verde2,propiedad,si,no,no,no,no,no,10148,10148,10148,9848,2,3
90,javier,no,0,0,verde1,propiedad,no,si,no,no,no,no,9616,9616,9616,9556,0,0
91,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9412,9412,9412,9412,1,1
92,bob,no,0,0,azul1,propiedad,si,no,no,no,no,no,9404,9404,9404,9054,2,3
93,carla,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9340,9340,9340,9284,4,4
94,diego,no,0,0,suerte6,suerte,no,no,no,no,no,no,9464,9464,9464,9464,1,1
95,elena,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9456,9456,9456,9400,2,2
96,fernando,no,0,0,salida,salida,no,no,no,no,no,no,9396,9396,9396,9396,2,2
97,gema,no,0,0,salida,salida,no,no,no,no,no,no,9607,9607,9607,9607,1,1
98,hugo,no,0,0,amarillo2,propiedad,si,no,no,no,no,no,9324,9324,9324,9064,4,5
99,irene,no,0,0,azul1,propiedad,no,si,no,no,no,no,9848,9848,9848,9778,3,3
