metrica,valor
total_turnos,1
jugadores_restantes,1
total_compras,0
total_alquileres,0
importe_total_alquileres,0
total_impuestos,0
importe_total_impuestos,0
premios_parking,0
importe_total_parking,0
caja_parking_final,0
eventos_monopoly,1
casas_compradas_total,2
coste_total_casas,200
entradas_carcel,0
salidas_pagando,0
salidas_dobles,0
liberaciones_automaticas,0
turnos_perdidos_carcel,0
bancarrotas,0
jugadores_eliminados,0
jugadores_superan_bancarrota,0
valor_total_liquidado,0
activos_restantes_banco,0
