turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,num_casas,alquiler_teorico,pago_real
21,ana,bob,azul1,propiedad,azul,350,0,70,70
31,ana,bob,azul2,propiedad,azul,400,3,140,140
32,bob,ana,estacion3,estacion,estacion,200,0,40,40
34,bob,ana,verde3,propiedad,verde,320,2,104,104
35,ana,bob,gris2,propiedad,gris,100,0,20,20
44,bob,ana,estacion3,estacion,estacion,200,0,40,40
54,bob,ana,naranja1,propiedad,naranja,180,0,36,36
55,ana,bob,gris1,propiedad,gris,100,0,20,20
56,bob,ana,amarillo2,propiedad,amarillo,260,0,52,52
58,bob,ana,estacion4,estacion,estacion,200,0,40,40
65,ana,bob,morado2,propiedad,morado,60,0,12,12
67,ana,bob,rosa1,propiedad,rosa,140,0,28,28
69,ana,bob,naranja3,propiedad,naranja,200,0,40,40
70,bob,ana,estacion1,estacion,estacion,200,0,40,40
74,bob,ana,rojo3,propiedad,rojo,240,0,48,48
75,ana,bob,azul1,propiedad,azul,350,3,130,130
79,ana,bob,gris2,propiedad,gris,100,3,80,80
82,bob,ana,naranja1,propiedad,naranja,180,0,36,36
84,bob,ana,rojo2,propiedad,rojo,220,0,44,44
91,ana,bob,naranja2,propiedad,naranja,180,0,36,36
92,bob,ana,estacion2,estacion,estacion,200,0,40,40
96,bob,ana,estacion3,estacion,estacion,200,0,40,40
100,bob,ana,morado1,propiedad,morado,60,0,12,12
