metrica,valor
total_turnos,200
jugadores_restantes,4
total_compras,26
total_alquileres,80
importe_total_alquileres,3238
total_impuestos,22
importe_total_impuestos,2900
premios_parking,5
importe_total_parking,1331
caja_parking_final,1569
eventos_monopoly,0
casas_compradas_total,0
coste_total_casas,0
entradas_carcel,2
salidas_pagando,1
salidas_dobles,0
liberaciones_automaticas,0
turnos_perdidos_carcel,1
bancarrotas,0
jugadores_eliminados,0
jugadores_superan_bancarrota,0
valor_total_liquidado,0
activos_restantes_banco,0
